role,optimizer,floor,stream_seed
confirmation,native,0.05,11103
confirmation,native,0.10,11103
confirmation,native,0.15,11103
confirmation,pure_adamw,0.05,11103
confirmation,pure_adamw,0.10,11103
confirmation,pure_adamw,0.15,11103
confirmation,native,0.05,12203
confirmation,native,0.10,12203
confirmation,native,0.15,12203
confirmation,pure_adamw,0.05,12203
confirmation,pure_adamw,0.10,12203
confirmation,pure_adamw,0.15,12203
confirmation,native,0.05,13303
confirmation,native,0.10,13303
confirmation,native,0.15,13303
confirmation,pure_adamw,0.05,13303
confirmation,pure_adamw,0.10,13303
confirmation,pure_adamw,0.15,13303
confirmation,native,0.05,14403
confirmation,native,0.10,14403
confirmation,native,0.15,14403
confirmation,pure_adamw,0.05,14403
confirmation,pure_adamw,0.10,14403
confirmation,pure_adamw,0.15,14403
confirmation,native,0.05,15503
confirmation,native,0.10,15503
confirmation,native,0.15,15503
confirmation,pure_adamw,0.05,15503
confirmation,pure_adamw,0.10,15503
confirmation,pure_adamw,0.15,15503
