stream_seed,floor,step,recipe,bpb
1103,0.05,248,raw,1.5429220363816751
1103,0.05,248,tsa:0.550,1.613509587078789
1103,0.05,248,tsa:1.000,1.7155100358107969
1103,0.05,504,raw,1.3215683081415195
1103,0.05,504,tsa:0.550,1.3147686795369375
1103,0.05,504,tsa:1.000,1.346057669806881
1103,0.05,760,raw,1.2526613242555282
1103,0.05,760,tsa:0.550,1.2201817804028885
1103,0.05,760,tsa:1.000,1.2233111026095718
1103,0.05,1016,raw,1.2199362643989813
1103,0.05,1016,tsa:0.550,1.1822673741734633
1103,0.05,1016,tsa:1.000,1.1819670207525999
1103,0.05,1272,raw,1.192826281952061
1103,0.05,1272,tsa:0.550,1.1577385330252012
1103,0.05,1272,tsa:1.000,1.1559202506886739
1103,0.05,1528,raw,1.1676929906599416
1103,0.05,1528,tsa:0.550,1.1372187017480062
1103,0.05,1528,tsa:1.000,1.1352090776027177
1103,0.05,1784,raw,1.1469194482718184
1103,0.05,1784,tsa:0.550,1.1206158264174242
1103,0.05,1784,tsa:1.000,1.1197863289484593
1103,0.05,2040,raw,1.1253220142107494
1103,0.05,2040,tsa:0.550,1.1029328752441425
1103,0.05,2040,tsa:1.000,1.102223550068933
1103,0.05,2296,raw,1.1090182078364232
1103,0.05,2296,tsa:0.550,1.091108149783862
1103,0.05,2296,tsa:1.000,1.0902269223455563
1103,0.05,2488,raw,1.0931099551090089
1103,0.05,2488,tsa:0.550,1.0805179654783161
1103,0.05,2488,tsa:1.000,1.0813256535603868
1103,0.05,2600,raw,1.0852880079073797
1103,0.05,2600,tsa:0.550,1.0750834790838493
1103,0.05,2600,tsa:1.000,1.0756313603931011
1103,0.05,2696,raw,1.0787044393764926
1103,0.05,2696,tsa:0.550,1.0705779070006813
1103,0.05,2696,tsa:1.000,1.0714104933429345
1103,0.05,2760,raw,1.0742119130935581
1103,0.05,2760,tsa:0.550,1.0678973460014083
1103,0.05,2760,tsa:1.000,1.068907176759437
1103,0.05,2808,raw,1.0715303997194452
1103,0.05,2808,tsa:0.550,1.0661317023390189
1103,0.05,2808,tsa:1.000,1.0672110562672115
1103,0.05,2856,raw,1.0679673755728656
1103,0.05,2856,tsa:0.550,1.063935709886811
1103,0.05,2856,tsa:1.000,1.0654097011731212
1103,0.05,2904,raw,1.0648950988907608
1103,0.05,2904,tsa:0.550,1.062292048214532
1103,0.05,2904,tsa:1.000,1.063902022850511
1103,0.05,2936,raw,1.0632720570208667
1103,0.05,2936,tsa:0.550,1.0613522285927548
1103,0.05,2936,tsa:1.000,1.0628296950053087
1103,0.05,2968,raw,1.0612946608592684
1103,0.05,2968,tsa:0.550,1.0601688420169544
1103,0.05,2968,tsa:1.000,1.061824639805183
1103,0.05,3000,raw,1.0598509869054227
1103,0.05,3000,tsa:0.550,1.0592357265665693
1103,0.05,3000,tsa:1.000,1.060838581447754
2203,0.05,248,raw,1.5472412959890391
2203,0.05,248,tsa:0.550,1.6134962781031987
2203,0.05,248,tsa:1.000,1.713307950190638
2203,0.05,504,raw,1.3262443022812667
2203,0.05,504,tsa:0.550,1.3188306960668967
2203,0.05,504,tsa:1.000,1.3485863949795565
2203,0.05,760,raw,1.2560167221689376
2203,0.05,760,tsa:0.550,1.2232388562245773
2203,0.05,760,tsa:1.000,1.226811364869072
2203,0.05,1016,raw,1.2196202327728334
2203,0.05,1016,tsa:0.550,1.183525173839503
2203,0.05,1016,tsa:1.000,1.1821304463133115
2203,0.05,1272,raw,1.1929695033008545
2203,0.05,1272,tsa:0.550,1.1589627798717208
2203,0.05,1272,tsa:1.000,1.1573809594273354
2203,0.05,1528,raw,1.1680610944600667
2203,0.05,1528,tsa:0.550,1.138441847315485
2203,0.05,1528,tsa:1.000,1.1370774977710987
2203,0.05,1784,raw,1.149310083671839
2203,0.05,1784,tsa:0.550,1.122219268890328
2203,0.05,1784,tsa:1.000,1.1205327670420278
2203,0.05,2040,raw,1.1288545572938316
2203,0.05,2040,tsa:0.550,1.1067921844173063
2203,0.05,2040,tsa:1.000,1.1056217340025154
2203,0.05,2296,raw,1.1098837930899752
2203,0.05,2296,tsa:0.550,1.0920011288026092
2203,0.05,2296,tsa:1.000,1.0917230305111607
2203,0.05,2488,raw,1.0949631063017908
2203,0.05,2488,tsa:0.550,1.0821185043429578
2203,0.05,2488,tsa:1.000,1.0827667099653333
2203,0.05,2600,raw,1.0861370711401235
2203,0.05,2600,tsa:0.550,1.0764412772180367
2203,0.05,2600,tsa:1.000,1.0776806707348963
2203,0.05,2696,raw,1.0805336873393265
2203,0.05,2696,tsa:0.550,1.0726270464169638
2203,0.05,2696,tsa:1.000,1.0735378421371373
2203,0.05,2760,raw,1.0756712845415395
2203,0.05,2760,tsa:0.550,1.0694989608969825
2203,0.05,2760,tsa:1.000,1.070778568224799
2203,0.05,2808,raw,1.0731374396259916
2203,0.05,2808,tsa:0.550,1.067856593045813
2203,0.05,2808,tsa:1.000,1.0690966148122831
2203,0.05,2856,raw,1.0698023520600315
2203,0.05,2856,tsa:0.550,1.0657673812681674
2203,0.05,2856,tsa:1.000,1.0671230571738053
2203,0.05,2904,raw,1.0672236023175004
2203,0.05,2904,tsa:0.550,1.064348670830764
2203,0.05,2904,tsa:1.000,1.0657963338226701
2203,0.05,2936,raw,1.0655496611474011
2203,0.05,2936,tsa:0.550,1.0634334568434098
2203,0.05,2936,tsa:1.000,1.0648007240974784
