stream_seed,floor,recipe,bpb
1103,0.05,raw,1.0564583611672413
1103,0.05,tsa:0.550,1.0558718704806094
1103,0.05,tsa:1.000,1.0574399653984083
2203,0.05,raw,1.0562290924097117
2203,0.05,tsa:0.550,1.0555802562156555
2203,0.05,tsa:1.000,1.0569487753537112
3303,0.05,raw,1.0559309930683585
3303,0.05,tsa:0.550,1.0551334644053736
3303,0.05,tsa:1.000,1.0565791693354976
4403,0.05,raw,1.0558292080261111
4403,0.05,tsa:0.550,1.0550475865701134
4403,0.05,tsa:1.000,1.0564358938461809
5503,0.05,raw,1.0559468011274948
5503,0.05,tsa:0.550,1.0552091467040237
5503,0.05,tsa:1.000,1.0566419635404836
1103,0.1,raw,1.0570619431808594
1103,0.1,tsa:0.550,1.0549548878396686
1103,0.1,tsa:1.000,1.0564226347322807
2203,0.1,raw,1.0570573318864074
2203,0.1,tsa:0.550,1.054913580132901
2203,0.1,tsa:1.000,1.0562261807541766
3303,0.1,raw,1.0562797682411207
3303,0.1,tsa:0.550,1.0541500841587497
3303,0.1,tsa:1.000,1.0556563504132033
4403,0.1,raw,1.0571312049504475
4403,0.1,tsa:0.550,1.0548915325811292
4403,0.1,tsa:1.000,1.0561802513815957
5503,0.1,raw,1.0573814328338167
5503,0.1,tsa:0.550,1.0552143857501695
5503,0.1,tsa:1.000,1.0565718527655878
