recipe,method,alpha,step,eval_kind,bpb,bpb_se,nll,nll_se,n_eval_batches,eval_seconds,floor,trajectory_id,lr_multiplier,stream_seed,paired_delta_vs_raw,paired_se_vs_raw,paired_z_vs_raw,window,spacing,ema_beta,mean_alpha_by_numel
raw,Raw iterate,0.0,248,curve,1.5380758380185733,0.020949586602052518,4.985057488083839,0.04119432040764137,32,0.8873568293638527,0.1,floor_10p00pct,0.4,2203,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,248,curve,1.6032869014555495,0.020479519920707463,5.198046535253525,0.038464064519807196,32,0.8448849790729582,0.1,floor_10p00pct,0.4,2203,0.06521106343697608,0.0018726621720724374,34.82265216304781,8,32,,
tsa:1.000,Uniform LAWA,1.0,248,curve,1.70487105248034,0.020180177147394226,5.529020771384239,0.035456278377330855,32,0.816571619361639,0.1,floor_10p00pct,0.4,2203,0.1667952144617667,0.0037639266958828374,44.314150603468256,8,32,,
raw,Raw iterate,0.0,504,curve,1.322379929248841,0.01772066983754426,4.288536503911018,0.042521947535886985,32,0.8419671426527202,0.1,floor_10p00pct,0.4,2203,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,504,curve,1.3110601188919957,0.017690261282999498,4.251481734216213,0.04221964764968501,32,0.8517132387496531,0.1,floor_10p00pct,0.4,2203,-0.011319810356845157,0.0009599727247959909,-11.79180414657176,8,32,,
tsa:1.000,Uniform LAWA,1.0,504,curve,1.3384772041076662,0.017903700644515165,4.34004957228899,0.04164436261107107,32,0.8295332500711083,0.1,floor_10p00pct,0.4,2203,0.016097274858825263,0.002031869797125387,7.922394870773257,8,32,,
raw,Raw iterate,0.0,760,curve,1.2535429531511144,0.01761755260281071,4.065354079008102,0.04560638763884294,32,0.828608344309032,0.1,floor_10p00pct,0.4,2203,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,760,curve,1.2211734787115724,0.017389943091366798,3.9607111513614655,0.045703470069276074,32,0.8155469219200313,0.1,floor_10p00pct,0.4,2203,-0.03236947443954198,0.0008712842717404359,-37.151450438652205,8,32,,
tsa:1.000,Uniform LAWA,1.0,760,curve,1.2244416958118736,0.017280541681434093,3.9714835211634636,0.04532204670208153,32,0.8106486517935991,0.1,floor_10p00pct,0.4,2203,-0.029101257339240613,0.0011746533049056343,-24.774337430207513,8,32,,
raw,Raw iterate,0.0,1016,curve,1.219051387249177,0.017423900794008466,3.954043470323086,0.04564062461974878,32,0.7953826999291778,0.1,floor_10p00pct,0.4,2203,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,1016,curve,1.1824906496686738,0.01733505393336075,3.835557021200657,0.046462168511789484,32,0.7926535671576858,0.1,floor_10p00pct,0.4,2203,-0.0365607375805032,0.0009347086292424495,-39.11458227376639,8,32,,
tsa:1.000,Uniform LAWA,1.0,1016,curve,1.1801610230680817,0.017342162551130393,3.82808106392622,0.04676744421512574,32,0.7869730982929468,0.1,floor_10p00pct,0.4,2203,-0.03889036418109506,0.001396738950856958,-27.84368844101769,8,32,,
raw,Raw iterate,0.0,1272,curve,1.1915617516092296,0.01702776787521715,3.8648662492632866,0.04596255687893821,32,0.8193533103913069,0.1,floor_10p00pct,0.3569333333333334,2203,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,1272,curve,1.1576015739075005,0.017089360533576976,3.754840448498726,0.04649484611598693,32,0.8146997536532581,0.1,floor_10p00pct,0.3569333333333334,2203,-0.0339601777017292,0.0007869737409661465,-43.15287275028669,8,32,,
tsa:1.000,Uniform LAWA,1.0,1272,curve,1.1563307852473832,0.01715529191666919,3.7506314888596535,0.0462972902075733,32,0.8304699659347534,0.1,floor_10p00pct,0.3569333333333334,2203,-0.0352309663618465,0.001211534215660828,-29.079629701279107,8,32,,
raw,Raw iterate,0.0,1528,curve,1.1693365299246756,0.017242631943501133,3.792954184114933,0.046839247817787824,32,0.8106790692545474,0.1,floor_10p00pct,0.3070461538461539,2203,,,,,,,
