step,train_loss,lr_multiplier,elapsed_training_seconds
250,4.977994620800018,0.4,160.90993288927712
500,4.381527006626129,0.4,309.6469745405484
750,4.080841764807701,0.4,457.6269669360481
1000,3.9633914679288864,0.4,606.7835224440787
1250,3.9607834964990616,0.3612205128205129,753.8563974713907
1500,3.907309502363205,0.3125025641025641,899.235425860621
1750,3.666320815682411,0.2637846153846154,1046.7594989449717
2000,3.6616078913211823,0.21506666666666666,1195.6339613310993
2250,3.610364079475403,0.16634871794871797,1343.7281901233364
2500,3.542394697666168,0.11763076923076923,1490.4364722135942
2750,3.493975356221199,0.06891282051282052,1637.7529616979882
3000,3.485327869653702,0.04000000000000001,1786.8905160110444
