name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.0.attn.c_q.weight,0,attn_qkv,attn,589824,768x768,1,0.04568818584084511,0.2065830252000264,0.8188925892402247,0.17748492674979396,0.8207038312452153
transformer.h.0.attn.c_k.weight,0,attn_qkv,attn,589824,768x768,1,0.045662496238946915,0.20596292402063096,0.8185298759090345,0.17929043649087326,0.8196197197090807
transformer.h.0.attn.c_v.weight,0,attn_qkv,attn,589824,768x768,1,0.03130677342414856,0.16378576521362578,0.8395285968251435,0.10910769505649519,0.8652104508843241
transformer.h.0.attn.c_proj.weight,0,attn_out,attn,589824,768x768,1,0.03522695228457451,0.1805835153375353,0.8367690285243351,0.12490756784241025,0.8559307303409625
transformer.h.0.mlp.c_fc.weight,0,mlp_up,mlp,2359296,3072x768,0,0.1811264157295227,0.8118807077407837,0.8175980700958799,0.17973987457058258,0.8189290977626487
transformer.h.0.mlp.c_proj.weight,0,mlp_down,mlp,2359296,768x3072,0,0.17757901549339294,0.7777742573193142,0.8141221467001699,0.18088113878852166,0.8166205039558241
transformer.h.1.attn.c_q.weight,1,attn_qkv,attn,589824,768x768,1,0.04199773073196411,0.20497080045086996,0.8299470360421238,0.14691280116381933,0.8415171174391523
transformer.h.1.attn.c_k.weight,1,attn_qkv,attn,589824,768x768,1,0.04260222241282463,0.20410705464226858,0.8273181174159453,0.1551986737845634,0.8360597218156909
transformer.h.1.attn.c_v.weight,1,attn_qkv,attn,589824,768x768,1,0.028484245762228966,0.15791551555906022,0.8471873270635154,0.0953440201188912,0.8759216534723121
transformer.h.1.attn.c_proj.weight,1,attn_out,attn,589824,768x768,1,0.03484593331813812,0.1912990723337446,0.8459133191215447,0.10477309345619858,0.870570112832673
transformer.h.1.attn.ve_gate.weight,1,attn_aux,attn,72,6x12,0,3.498176738503389e-06,2.022644665495526e-05,0.8525508000490366,0.001593245915060273,0.9254787770669881
transformer.h.1.mlp.c_fc.weight,1,mlp_up,mlp,2359296,3072x768,0,0.06402720510959625,0.32554811239242554,0.8356487122435216,0.14054803800004131,0.8475503371217401
transformer.h.1.mlp.c_proj.weight,1,mlp_down,mlp,2359296,768x3072,0,0.06476341933012009,0.3142850228718349,0.829142103964605,0.1417150904057601,0.8437135067794224
