name,shape,numel,layer,role,module,hidden,tsa_bucket,schedule_bucket,alpha,mapped_floor
resid_lambdas,12,12,,scalar,scalar,0,rest,rest,0.25,0.08846153846153845
x0_lambdas,12,12,,scalar,scalar,0,rest,rest,0.25,0.08846153846153845
smear_lambda,1,1,,scalar,scalar,0,rest,rest,0.25,0.08846153846153845
backout_lambda,1,1,,scalar,scalar,0,rest,rest,0.25,0.08846153846153845
transformer.wte.weight,32768x768,25165824,,token_embed,embedding,0,embedding,embedding,0.0,0.05
transformer.h.0.attn.c_q.weight,768x768,589824,0,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.0.attn.c_k.weight,768x768,589824,0,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.0.attn.c_v.weight,768x768,589824,0,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.0.attn.c_proj.weight,768x768,589824,0,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.0.mlp.c_fc.weight,3072x768,2359296,0,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.0.mlp.c_proj.weight,768x3072,2359296,0,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.1.attn.c_q.weight,768x768,589824,1,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.1.attn.c_k.weight,768x768,589824,1,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.1.attn.c_v.weight,768x768,589824,1,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.1.attn.c_proj.weight,768x768,589824,1,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.1.attn.ve_gate.weight,6x12,72,1,attn_aux,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.1.mlp.c_fc.weight,3072x768,2359296,1,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.1.mlp.c_proj.weight,768x3072,2359296,1,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.2.attn.c_q.weight,768x768,589824,2,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.2.attn.c_k.weight,768x768,589824,2,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.2.attn.c_v.weight,768x768,589824,2,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.2.attn.c_proj.weight,768x768,589824,2,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.2.mlp.c_fc.weight,3072x768,2359296,2,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.2.mlp.c_proj.weight,768x3072,2359296,2,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.3.attn.c_q.weight,768x768,589824,3,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.3.attn.c_k.weight,768x768,589824,3,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.3.attn.c_v.weight,768x768,589824,3,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.3.attn.c_proj.weight,768x768,589824,3,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.3.attn.ve_gate.weight,6x12,72,3,attn_aux,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.3.mlp.c_fc.weight,3072x768,2359296,3,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.3.mlp.c_proj.weight,768x3072,2359296,3,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.4.attn.c_q.weight,768x768,589824,4,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.4.attn.c_k.weight,768x768,589824,4,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.4.attn.c_v.weight,768x768,589824,4,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.4.attn.c_proj.weight,768x768,589824,4,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.4.mlp.c_fc.weight,3072x768,2359296,4,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.4.mlp.c_proj.weight,768x3072,2359296,4,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.5.attn.c_q.weight,768x768,589824,5,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.5.attn.c_k.weight,768x768,589824,5,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.5.attn.c_v.weight,768x768,589824,5,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.5.attn.c_proj.weight,768x768,589824,5,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.5.attn.ve_gate.weight,6x12,72,5,attn_aux,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.5.mlp.c_fc.weight,3072x768,2359296,5,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.5.mlp.c_proj.weight,768x3072,2359296,5,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.6.attn.c_q.weight,768x768,589824,6,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.6.attn.c_k.weight,768x768,589824,6,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.6.attn.c_v.weight,768x768,589824,6,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.6.attn.c_proj.weight,768x768,589824,6,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.6.mlp.c_fc.weight,3072x768,2359296,6,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.6.mlp.c_proj.weight,768x3072,2359296,6,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.7.attn.c_q.weight,768x768,589824,7,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.7.attn.c_k.weight,768x768,589824,7,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.7.attn.c_v.weight,768x768,589824,7,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.7.attn.c_proj.weight,768x768,589824,7,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.7.attn.ve_gate.weight,6x12,72,7,attn_aux,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.7.mlp.c_fc.weight,3072x768,2359296,7,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.7.mlp.c_proj.weight,768x3072,2359296,7,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.8.attn.c_q.weight,768x768,589824,8,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.8.attn.c_k.weight,768x768,589824,8,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.8.attn.c_v.weight,768x768,589824,8,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.8.attn.c_proj.weight,768x768,589824,8,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.8.mlp.c_fc.weight,3072x768,2359296,8,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
