contrast,candidate_arm,candidate_estimator,reference_arm,reference_estimator,n,mean,se,halfwidth95,lo95,hi95
PRIMARY_mapped_structured_minus_matched_uniform_structured,mapped,structured,matched_uniform,structured,8,0.0001123169725620321,0.00012447288592710176,0.0002943315734124871,-0.00018201460085045498,0.0004066485459745192
PRIMARY_INTERACTION_mapped_vs_matched_uniform,mapped,structured,matched_uniform,raw/interaction,8,0.003516476784052508,4.144203063503964e-05,9.799482024834997e-05,0.003418481963804158,0.003614471604300858
mapped_structured_minus_uniform10_structured,mapped,structured,uniform10,structured,8,-0.00014009834102557406,0.0001190002749536876,0.00028139090616208863,-0.0004214892471876627,0.00014129256513651457
mapped_raw_minus_matched_uniform_raw,mapped,raw,matched_uniform,raw,8,-0.003404159811490476,0.00016305228635710568,0.0003855573495748847,-0.0037897171610653604,-0.0030186024619155913
matched_uniform_structured_minus_uniform10_structured,matched_uniform,structured,uniform10,structured,8,-0.00025241531358760616,0.00019954448518797927,0.0004718476787431403,-0.0007242629923307465,0.00021943236515553416
FULL_RECIPE_mapped_structured_minus_uniform05_raw,mapped,structured,uniform05,raw,8,0.0009909449335173404,0.00015865141401111892,0.00037515094120462805,0.0006157939923127124,0.0013660958747219684
mapped_structured_minus_mapped_scalar055,mapped,structured,mapped,scalar055,8,0.00032192896654842373,2.5905047422802637e-05,6.125569685709726e-05,0.00026067326969132646,0.000383184663405521
uniform10_raw_minus_uniform05_raw,uniform10,raw,uniform05,raw,8,-0.0011535661564190391,0.00019363398345675683,0.0004578715644974502,-0.0016114377209164893,-0.000695694591921589
uniform10_structured_minus_uniform05_structured,uniform10,structured,uniform05,structured,8,0.0003205158802237207,0.00020865716059544108,0.0004933957297158343,-0.0001728798494921136,0.000813911609939555
INTERACTION_uniform10_vs_uniform05,uniform10,structured,uniform05,raw/interaction,8,0.0014740820366427598,3.619623513146206e-05,8.559048630149835e-05,0.0013884915503412614,0.0015596725229442582
structured_minus_raw_within_uniform05,uniform05,structured,uniform05,raw,8,0.0008105273943191937,3.3874643246643065e-05,8.010079441245011e-05,0.0007304265999067436,0.0008906281887316439
structured_minus_raw_within_uniform10,uniform10,structured,uniform10,raw,8,0.0022846094309619536,4.352919224330246e-05,0.00010293017267912684,0.0021816792582828267,0.0023875396036410804
structured_minus_raw_within_matched_uniform,matched_uniform,structured,matched_uniform,raw,8,0.0015972462935318343,4.955444006458233e-05,0.00011717761828327293,0.0014800686752485615,0.0017144239118151072
structured_minus_raw_within_mapped,mapped,structured,mapped,raw,8,0.005113723077584342,7.356604021103568e-05,0.00017395602426798003,0.004939767053316362,0.005287679101852323
