step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.915263265371323,158.8200896922499,0.4,0.4,0.4,0.4
500,4.286582842469215,305.26652342127636,0.4,0.4,0.4,0.4
750,4.178992405533791,452.9010768760927,0.4,0.4,0.4,0.4
1000,3.9167591333389282,599.3558344510384,0.4,0.4,0.4,0.4
1250,3.959104046225548,746.2805499159731,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.7633117586374283,893.6296898769215,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.718200221657753,1040.9838963625953,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.7933920174837112,1187.8607929144055,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.5830098390579224,1334.267849768512,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.5878093987703323,1481.7792029757984,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.427740663290024,1629.2933146893047,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.434010088443756,1779.2313870424405,0.020194871794871797,0.06000000000000001,0.047692307692307694,0.03538461538461538
