step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.986675798892975,155.9729909156449,0.4,0.4,0.4,0.4
500,4.149802774190903,300.6925931395963,0.4,0.4,0.4,0.4
750,4.1482183784246445,445.44607292395085,0.4,0.4,0.4,0.4
1000,3.9319937229156494,591.4138832269236,0.4,0.4,0.4,0.4
1250,3.9044034630060196,738.0288511700928,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.7607557624578476,882.9600016600452,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.7731851786375046,1027.8084043664858,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.680366814136505,1172.5316366502084,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.641861245036125,1317.0943280011415,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.584481656551361,1461.8048552633263,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.521969124674797,1606.7743577812798,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.4857639521360397,1752.0141416764818,0.03430265942558662,0.03430265942558662,0.03430265942558662,0.03430265942558662
