optimizer_group,parameter_count,numel,buckets,direct_bucket,example_names,lr_at_restore
0,1,25165824,unembed,unembed,lm_head.weight,0.004
1,1,25165824,embedding,embedding,transformer.wte.weight,0.2
2,6,150994944,embedding,embedding,value_embeds.1.weight;value_embeds.3.weight;value_embeds.5.weight;value_embeds.7.weight;value_embeds.9.weight;value_embeds.11.weight,0.1
3,1,12,rest,rest,resid_lambdas,0.005
4,1,12,rest,rest,x0_lambdas,0.5
5,3,26,rest,rest,smear_gate.weight;smear_lambda;backout_lambda,0.2
6,6,432,hidden,hidden,transformer.h.1.attn.ve_gate.weight;transformer.h.3.attn.ve_gate.weight;transformer.h.5.attn.ve_gate.weight;transformer.h.7.attn.ve_gate.weight;transformer.h.9.attn.ve_gate.weight;transformer.h.11.attn.ve_gate.weight,0.02
7,48,28311552,hidden,hidden,transformer.h.0.attn.c_q.weight;transformer.h.0.attn.c_k.weight;transformer.h.0.attn.c_v.weight;transformer.h.0.attn.c_proj.weight;transformer.h.1.attn.c_q.weight;transformer.h.1.attn.c_k.weight;transformer.h.1.attn.c_v.weight;transformer.h.1.attn.c_proj.weight,0.02
8,12,28311552,hidden,hidden,transformer.h.0.mlp.c_proj.weight;transformer.h.1.mlp.c_proj.weight;transformer.h.2.mlp.c_proj.weight;transformer.h.3.mlp.c_proj.weight;transformer.h.4.mlp.c_proj.weight;transformer.h.5.mlp.c_proj.weight;transformer.h.6.mlp.c_proj.weight;transformer.h.7.mlp.c_proj.weight,0.02
9,12,28311552,hidden,hidden,transformer.h.0.mlp.c_fc.weight;transformer.h.1.mlp.c_fc.weight;transformer.h.2.mlp.c_fc.weight;transformer.h.3.mlp.c_fc.weight;transformer.h.4.mlp.c_fc.weight;transformer.h.5.mlp.c_fc.weight;transformer.h.6.mlp.c_fc.weight;transformer.h.7.mlp.c_fc.weight,0.02
