step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.9733535051345825,160.77807687129825,0.4,0.4,0.4,0.4
500,4.283661633729935,308.7418431881815,0.4,0.4,0.4,0.4
750,4.021917745471001,456.78114977292717,0.4,0.4,0.4,0.4
1000,3.9626929461956024,607.3957200245932,0.4,0.4,0.4,0.4
1250,3.89027339220047,758.6314385412261,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.6600233912467957,909.4122780668549,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.779762402176857,1057.1520836981945,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.5588299930095673,1204.747212730348,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.6497298032045364,1353.0716924341395,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.48666849732399,1501.3290542266332,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.491247460246086,1652.0772245512344,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.4271648675203323,1803.4517878191546,0.020194871794871797,0.020194871794871797,0.020194871794871797,0.020194871794871797
