step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.021200627088547,0.4,163.26747014536522
500,4.383237838745117,0.4,309.8488381956704
750,4.032094284892082,0.4,456.0879053915851
1000,3.9577731043100357,0.4,625.4827362867072
1250,3.867916449904442,0.3612205128205129,814.7232027370483
1500,3.7935840487480164,0.3125025641025641,1005.4962030365132
1750,3.6956293880939484,0.2637846153846154,1195.1462539760396
2000,3.7376013845205307,0.21506666666666666,1385.1505267433822
2250,3.5684833973646164,0.16634871794871797,1575.1684898713138
2500,3.597179666161537,0.11763076923076923,1764.7058312890586
2750,3.3999355286359787,0.06891282051282052,1954.8314898184035
3000,3.3400096744298935,0.06,2143.6451132583898
