step,train_loss,lr_multiplier,elapsed_training_seconds
250,4.988808214664459,0.4,173.16410312615335
500,4.164781883358955,0.4,330.16784221306443
750,4.030173256993294,0.4,485.1489104339853
1000,3.9038473665714264,0.4,641.6046054009348
1250,3.8330239951610565,0.3612205128205129,798.645620321855
1500,3.8215275704860687,0.3125025641025641,957.2376091866754
1750,3.798955947160721,0.2637846153846154,1114.7487003095448
2000,3.740827664732933,0.21506666666666666,1273.1524751884863
2250,3.6138858944177628,0.16634871794871797,1430.7388050341979
2500,3.3682049214839935,0.11763076923076923,1589.3921636478044
2750,3.4851416498422623,0.06891282051282052,1748.9901647143997
3000,3.4492806047201157,0.04000000000000001,1905.3518760036677
