optimizer,floor,eval_kind,alpha_group,alpha_other,n,mean_gain_vs_raw,gain_ci95_half,positive_seed_count
native,0.05,scalar_grid_diagnostic,0.0,0.0,5,0.0,0.0,0
native,0.05,scalar_grid_diagnostic,0.05,0.05,5,0.00019471830929300714,1.68257740778362e-05,5
native,0.05,scalar_grid_diagnostic,0.1,0.1,5,0.00035056007860401195,2.9004645943303344e-05,5
native,0.05,scalar_grid_diagnostic,0.15,0.15,5,0.0004657653274450002,4.849918007403212e-05,5
native,0.05,scalar_grid_diagnostic,0.2,0.2,5,0.0005784926779075939,5.7955529233272125e-05,5
native,0.05,scalar_grid_diagnostic,0.25,0.25,5,0.0006698848459790518,5.853486768924324e-05,5
native,0.05,scalar_grid_diagnostic,0.3,0.3,5,0.0007365194761379534,7.469281862112016e-05,5
native,0.05,scalar_grid_diagnostic,0.35,0.35,5,0.000778666547121798,8.191619706155119e-05,5
native,0.05,scalar_grid_diagnostic,0.4,0.4,5,0.0007937926339417256,8.690597232133476e-05,5
native,0.05,scalar_grid_diagnostic,0.45,0.45,5,0.000793666554996797,9.337193520413318e-05,5
native,0.05,scalar_grid_diagnostic,0.5,0.5,5,0.0007585092313292296,9.46105240166981e-05,5
native,0.05,scalar_grid_diagnostic,0.55,0.55,5,0.0007107083186271623,9.790084195194625e-05,5
native,0.05,scalar_grid_diagnostic,0.6,0.6,5,0.0006496615902483516,9.957975389270573e-05,5
native,0.05,scalar_grid_diagnostic,0.65,0.65,5,0.0005480723090918183,0.00012637645311297917,5
native,0.05,scalar_grid_diagnostic,0.7,0.7,5,0.0004387176315918673,0.00013635256415459791,5
native,0.05,scalar_grid_diagnostic,0.75,0.75,5,0.0002957266788381041,0.0001451724685626208,5
native,0.05,scalar_grid_diagnostic,0.8,0.8,5,0.00013117090870768956,0.0001402159191265455,5
native,0.05,scalar_grid_diagnostic,0.85,0.85,5,-5.5626221299664993e-05,0.00015266290034265739,2
native,0.05,scalar_grid_diagnostic,0.9,0.9,5,-0.00025100316495692,0.00016533118893493013,0
native,0.05,scalar_grid_diagnostic,0.95,0.95,5,-0.0004760861387443693,0.00017550263195780283,0
native,0.05,scalar_grid_diagnostic,1.0,1.0,5,-0.0007335265331806174,0.00017171408231971222,0
native,0.05,structured_grid_diagnostic,0.0,0.0,5,0.0,0.0,0
native,0.05,structured_grid_diagnostic,0.0,0.125,5,4.9952379771278646e-05,2.3609896246443753e-05,5
native,0.05,structured_grid_diagnostic,0.0,0.25,5,4.4161416818155884e-05,7.234636286362588e-05,4
native,0.05,structured_grid_diagnostic,0.0,0.375,5,2.8038770036387107e-05,8.897073697870455e-05,4
native,0.05,structured_grid_diagnostic,0.0,0.5,5,-2.0632245011142913e-06,7.762461523646061e-05,3
native,0.05,structured_grid_diagnostic,0.0,0.625,5,-9.000469703952518e-05,9.465783942125288e-05,0
native,0.05,structured_grid_diagnostic,0.0,0.75,5,-0.0001932988326958096,0.0001095896474759368,0
native,0.05,structured_grid_diagnostic,0.0,0.875,5,-0.00031649913011539966,0.0001104461115423,0
native,0.05,structured_grid_diagnostic,0.0,1.0,5,-0.0005143336593679493,7.554289354742688e-05,0
native,0.05,structured_grid_diagnostic,0.125,0.0,5,0.0003738669567888042,3.0207121922918864e-05,5
native,0.05,structured_grid_diagnostic,0.125,0.125,5,0.0004189962247072909,3.350135728247182e-05,5
native,0.05,structured_grid_diagnostic,0.125,0.25,5,0.00041635031262461376,7.430535500142125e-05,5
native,0.05,structured_grid_diagnostic,0.125,0.375,5,0.0004077967800157012,7.971113881714903e-05,5
native,0.05,structured_grid_diagnostic,0.125,0.5,5,0.0003630678291396183,7.609909957420032e-05,5
native,0.05,structured_grid_diagnostic,0.125,0.625,5,0.000278899946892075,8.923621543527946e-05,5
native,0.05,structured_grid_diagnostic,0.125,0.75,5,0.00017979077728127457,9.784160890569404e-05,5
native,0.05,structured_grid_diagnostic,0.125,0.875,5,5.327645091846023e-05,0.00010720062534058283,4
native,0.05,structured_grid_diagnostic,0.125,1.0,5,-0.00013403113195042948,6.47680807650435e-05,0
native,0.05,structured_grid_diagnostic,0.25,0.0,5,0.0006314457643502802,4.988166931574148e-05,5
native,0.05,structured_grid_diagnostic,0.25,0.125,5,0.0006695440220469085,4.247431205244455e-05,5
native,0.05,structured_grid_diagnostic,0.25,0.25,5,0.0006698848459790518,5.853486768924324e-05,5
native,0.05,structured_grid_diagnostic,0.25,0.375,5,0.0006633787855578,8.05467169820215e-05,5
native,0.05,structured_grid_diagnostic,0.25,0.5,5,0.0006182942963997018,7.199268563293402e-05,5
native,0.05,structured_grid_diagnostic,0.25,0.625,5,0.0005325384410532318,8.411106242121167e-05,5
native,0.05,structured_grid_diagnostic,0.25,0.75,5,0.00043053717456067455,0.00010131774810481054,5
native,0.05,structured_grid_diagnostic,0.25,0.875,5,0.00030802058191805595,9.55975091068311e-05,5
native,0.05,structured_grid_diagnostic,0.25,1.0,5,0.00011537177679730171,6.263133508576223e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.0,5,0.0007567301500808199,9.121247187074226e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.125,5,0.0008026273993352983,6.954188158710097e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.25,5,0.0008030048925721456,7.015209006374905e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.375,5,0.0007940190814202275,8.723818485408936e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.5,5,0.0007508811936929316,8.229674073031209e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.625,5,0.0006715313835057302,8.028236307585024e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.75,5,0.000578192247491982,9.814595356460086e-05,5
native,0.05,structured_grid_diagnostic,0.375,0.875,5,0.0004368417693223936,0.00010523779390553748,5
native,0.05,structured_grid_diagnostic,0.375,1.0,5,0.0002588445976701159,7.419299296637256e-05,5
native,0.05,structured_grid_diagnostic,0.5,0.0,5,0.0007800468173628783,0.0001117788433310738,5
native,0.05,structured_grid_diagnostic,0.5,0.125,5,0.000830773423563258,8.590992331496312e-05,5
native,0.05,structured_grid_diagnostic,0.5,0.25,5,0.0008295931386955502,8.339843771113892e-05,5
