floor,stream_seed,native_structured_over_scalar_gain,adamw_structured_over_scalar_gain,optimizer_by_estimator_interaction
0.05,11103,4.610555542194916e-05,2.1000313008778804e-05,2.510524241317036e-05
0.05,12203,-3.1439042106562454e-05,8.398532898512556e-05,-0.00011542437109168802
0.05,13303,2.6643164836803734e-05,7.149615285917399e-05,-4.4852988022370255e-05
0.05,14403,-1.0277156942573029e-05,2.907591865208836e-05,-3.935307559466139e-05
0.05,15503,6.387873728375126e-05,4.967630268537526e-05,1.4202434598376001e-05
0.1,11103,-2.2706403339567416e-05,2.4086052975658134e-05,-4.679245631522555e-05
0.1,12203,3.421046760898605e-05,6.150574615881865e-05,-2.7295278549832602e-05
0.1,13303,8.765554627987449e-05,4.815635444033184e-05,3.949919183954265e-05
0.1,14403,4.1881748439553945e-05,4.950825697402905e-05,-7.626508534475107e-06
0.1,15503,5.896114490511195e-05,4.8537677536542034e-05,1.0423467368569916e-05
0.15,11103,-3.0312806091226108e-05,-5.056991385887777e-05,2.025710776765166e-05
0.15,12203,5.4984197823237935e-05,3.7490202837719977e-06,5.123517753946594e-05
0.15,13303,0.00012134780030548242,2.8594556956251793e-05,9.275324334923063e-05
0.15,14403,5.081441015120092e-05,-2.7610717432624554e-05,7.842512758382547e-05
0.15,15503,8.867960008096532e-05,-1.319693642765074e-05,0.00010187653650861606
