optimizer,floor,stream_seed,left_recipe,right_recipe,contrast
native,0.05,11103,raw,scalar_dev_selected,0.0007837268880894754
native,0.05,12203,raw,scalar_dev_selected,0.0006468146195408586
native,0.05,13303,raw,scalar_dev_selected,0.0006512216593748121
native,0.05,14403,raw,scalar_dev_selected,0.0008088759040052462
native,0.05,15503,raw,scalar_dev_selected,0.0006629025221254192
native,0.05,11103,raw,structured_dev_selected,0.0008298324435114246
native,0.05,12203,raw,structured_dev_selected,0.0006153755774342962
native,0.05,13303,raw,structured_dev_selected,0.0006778648242116159
native,0.05,14403,raw,structured_dev_selected,0.0007985987470626732
native,0.05,15503,raw,structured_dev_selected,0.0007267812594091705
native,0.05,11103,scalar_dev_selected,structured_dev_selected,4.610555542194916e-05
native,0.05,12203,scalar_dev_selected,structured_dev_selected,-3.1439042106562454e-05
native,0.05,13303,scalar_dev_selected,structured_dev_selected,2.6643164836803734e-05
native,0.05,14403,scalar_dev_selected,structured_dev_selected,-1.0277156942573029e-05
native,0.05,15503,scalar_dev_selected,structured_dev_selected,6.387873728375126e-05
native,0.05,11103,raw,group_only_dev_selected,0.0007309125515659876
native,0.05,12203,raw,group_only_dev_selected,0.00046457964423440856
native,0.05,13303,raw,group_only_dev_selected,0.0006745535607410869
native,0.05,14403,raw,group_only_dev_selected,0.0007446061968119366
native,0.05,15503,raw,group_only_dev_selected,0.0007500512437761397
native,0.05,11103,raw,other_only_dev_selected,8.128219551184479e-05
native,0.05,12203,raw,other_only_dev_selected,8.207566613771533e-05
native,0.05,13303,raw,other_only_dev_selected,4.789948522998522e-05
native,0.05,14403,raw,other_only_dev_selected,6.662906814502989e-05
native,0.05,15503,raw,other_only_dev_selected,-5.70793309337958e-05
native,0.05,11103,structured_dev_selected,lawa,0.001396161925458106
native,0.05,12203,structured_dev_selected,lawa,0.00149136385425086
native,0.05,13303,structured_dev_selected,lawa,0.0015045689024049125
native,0.05,14403,structured_dev_selected,lawa,0.0014050319499903097
native,0.05,15503,structured_dev_selected,lawa,0.0015189588854280789
native,0.1,11103,raw,scalar_dev_selected,0.002252640579442522
native,0.1,12203,raw,scalar_dev_selected,0.0020248536866658284
native,0.1,13303,raw,scalar_dev_selected,0.0019501430796469155
native,0.1,14403,raw,scalar_dev_selected,0.002195509750286151
native,0.1,15503,raw,scalar_dev_selected,0.002141697420752653
native,0.1,11103,raw,structured_dev_selected,0.0022299341761029545
native,0.1,12203,raw,structured_dev_selected,0.0020590641542748145
native,0.1,13303,raw,structured_dev_selected,0.00203779862592679
native,0.1,14403,raw,structured_dev_selected,0.002237391498725705
native,0.1,15503,raw,structured_dev_selected,0.002200658565657765
native,0.1,11103,scalar_dev_selected,structured_dev_selected,-2.2706403339567416e-05
native,0.1,12203,scalar_dev_selected,structured_dev_selected,3.421046760898605e-05
native,0.1,13303,scalar_dev_selected,structured_dev_selected,8.765554627987449e-05
native,0.1,14403,scalar_dev_selected,structured_dev_selected,4.1881748439553945e-05
native,0.1,15503,scalar_dev_selected,structured_dev_selected,5.896114490511195e-05
native,0.1,11103,raw,group_only_dev_selected,0.0020827871163442424
native,0.1,12203,raw,group_only_dev_selected,0.0018672438325249008
native,0.1,13303,raw,group_only_dev_selected,0.001962732302007719
native,0.1,14403,raw,group_only_dev_selected,0.0020653248421842463
native,0.1,15503,raw,group_only_dev_selected,0.002088472735765068
native,0.1,11103,raw,other_only_dev_selected,0.00024886096877785313
native,0.1,12203,raw,other_only_dev_selected,0.0001425589980716957
native,0.1,13303,raw,other_only_dev_selected,0.00017021957978147206
native,0.1,14403,raw,other_only_dev_selected,0.0001871171851159925
native,0.1,15503,raw,other_only_dev_selected,0.00017933709420914212
native,0.1,11103,structured_dev_selected,lawa,0.0012628762586530673
native,0.1,12203,structured_dev_selected,lawa,0.0015522255224549308
native,0.1,13303,structured_dev_selected,lawa,0.0016102328564975288
native,0.1,14403,structured_dev_selected,lawa,0.0014048430043120952
native,0.1,15503,structured_dev_selected,lawa,0.001479394420448532
native,0.15,11103,raw,scalar_dev_selected,0.005479100893559741
native,0.15,12203,raw,scalar_dev_selected,0.005158620473972864
native,0.15,13303,raw,scalar_dev_selected,0.00522981847099091
native,0.15,14403,raw,scalar_dev_selected,0.005374843657753869
native,0.15,15503,raw,scalar_dev_selected,0.005315500670903361
native,0.15,11103,raw,structured_dev_selected,0.005448788087468515
native,0.15,12203,raw,structured_dev_selected,0.0052136046717961015
native,0.15,13303,raw,structured_dev_selected,0.0053511662712963926
native,0.15,14403,raw,structured_dev_selected,0.00542565806790507
native,0.15,15503,raw,structured_dev_selected,0.005404180270984327
native,0.15,11103,scalar_dev_selected,structured_dev_selected,-3.0312806091226108e-05
native,0.15,12203,scalar_dev_selected,structured_dev_selected,5.4984197823237935e-05
native,0.15,13303,scalar_dev_selected,structured_dev_selected,0.00012134780030548242
native,0.15,14403,scalar_dev_selected,structured_dev_selected,5.081441015120092e-05
native,0.15,15503,scalar_dev_selected,structured_dev_selected,8.867960008096532e-05
native,0.15,11103,raw,group_only_dev_selected,0.005037492485074235
native,0.15,12203,raw,group_only_dev_selected,0.004765152899000702
native,0.15,13303,raw,group_only_dev_selected,0.004989992559665035
native,0.15,14403,raw,group_only_dev_selected,0.005009909154396919
native,0.15,15503,raw,group_only_dev_selected,0.004979964549487903
native,0.15,11103,raw,other_only_dev_selected,0.0006498878811902475
native,0.15,12203,raw,other_only_dev_selected,0.000567468455569875
native,0.15,13303,raw,other_only_dev_selected,0.0004896456639991165
native,0.15,14403,raw,other_only_dev_selected,0.0005258796686813394
native,0.15,15503,raw,other_only_dev_selected,0.0005692935536014687
native,0.15,11103,structured_dev_selected,lawa,0.0005812689318398512
native,0.15,12203,structured_dev_selected,lawa,0.0008417666202784613
native,0.15,13303,structured_dev_selected,lawa,0.000915008461448652
native,0.15,14403,structured_dev_selected,lawa,0.0006338948213648887
native,0.15,15503,structured_dev_selected,lawa,0.0007998677142064814
pure_adamw,0.05,11103,raw,scalar_dev_selected,0.00028835113342196017
pure_adamw,0.05,12203,raw,scalar_dev_selected,0.00018933110221697191
pure_adamw,0.05,13303,raw,scalar_dev_selected,0.00017552262068076807
pure_adamw,0.05,14403,raw,scalar_dev_selected,0.00019950841816429588
pure_adamw,0.05,15503,raw,scalar_dev_selected,0.00010601731310089235
pure_adamw,0.05,11103,raw,structured_dev_selected,0.000309351446430739
pure_adamw,0.05,12203,raw,structured_dev_selected,0.0002733164312020975
pure_adamw,0.05,13303,raw,structured_dev_selected,0.00024701877353994206
pure_adamw,0.05,14403,raw,structured_dev_selected,0.00022858433681638424
pure_adamw,0.05,15503,raw,structured_dev_selected,0.00015569361578626761
pure_adamw,0.05,11103,scalar_dev_selected,structured_dev_selected,2.1000313008778804e-05
pure_adamw,0.05,12203,scalar_dev_selected,structured_dev_selected,8.398532898512556e-05
pure_adamw,0.05,13303,scalar_dev_selected,structured_dev_selected,7.149615285917399e-05
pure_adamw,0.05,14403,scalar_dev_selected,structured_dev_selected,2.907591865208836e-05
pure_adamw,0.05,15503,scalar_dev_selected,structured_dev_selected,4.967630268537526e-05
pure_adamw,0.05,11103,raw,group_only_dev_selected,0.0002908922403150882
pure_adamw,0.05,12203,raw,group_only_dev_selected,0.00031551226066151017
pure_adamw,0.05,13303,raw,group_only_dev_selected,0.0002485823645723695
pure_adamw,0.05,14403,raw,group_only_dev_selected,0.00024125659957330292
pure_adamw,0.05,15503,raw,group_only_dev_selected,0.00017862411440150439
pure_adamw,0.05,11103,raw,other_only_dev_selected,5.219227826680495e-05
