optimizer,floor,left_recipe,right_recipe,positive_means,n,mean_contrast,contrast_sd,contrast_ci95_half,positive_seed_count,min_contrast,max_contrast
native,0.05,raw,scalar_dev_selected,scalar_dev_selected has lower BPB,5,0.0007107083186271623,7.885912739878064e-05,9.790084195194625e-05,5,0.0006468146195408586,0.0008088759040052462
native,0.05,raw,structured_dev_selected,structured_dev_selected has lower BPB,5,0.0007296905703258361,8.73770868655106e-05,0.0001084755899996695,5,0.0006153755774342962,0.0008298324435114246
native,0.05,scalar_dev_selected,structured_dev_selected,structured_dev_selected has lower BPB,5,1.8982251698673736e-05,3.939694618842782e-05,4.890992747964699e-05,3,-3.1439042106562454e-05,6.387873728375126e-05
native,0.05,raw,group_only_dev_selected,group_only_dev_selected has lower BPB,5,0.0006729406394259119,0.00012027016031444194,0.00014931118749180432,5,0.00046457964423440856,0.0007500512437761397
native,0.05,raw,other_only_dev_selected,other_only_dev_selected has lower BPB,5,4.4161416818155884e-05,5.8274994700264354e-05,7.234636286362588e-05,4,-5.70793309337958e-05,8.207566613771533e-05
native,0.05,structured_dev_selected,lawa,structured_dev_selected has lower BPB,5,0.0014632171035064534,5.8075954779489434e-05,7.209926178010293e-05,5,0.001396161925458106,0.0015189588854280789
native,0.1,raw,scalar_dev_selected,scalar_dev_selected has lower BPB,5,0.0021129689033588138,0.00012391835669451124,0.00015384029539593704,5,0.0019501430796469155,0.002252640579442522
native,0.1,raw,structured_dev_selected,structured_dev_selected has lower BPB,5,0.0021529694041376056,9.670499781590155e-05,0.00012005586441835618,5,0.00203779862592679,0.002237391498725705
native,0.1,scalar_dev_selected,structured_dev_selected,structured_dev_selected has lower BPB,5,4.00005007787918e-05,4.061935741851688e-05,5.042750816541911e-05,4,-2.2706403339567416e-05,8.765554627987449e-05
native,0.1,raw,group_only_dev_selected,group_only_dev_selected has lower BPB,5,0.0020133121657652355,9.627496967314799e-05,0.0001195219995554379,5,0.0018672438325249008,0.002088472735765068
native,0.1,raw,other_only_dev_selected,other_only_dev_selected has lower BPB,5,0.0001856187651912311,3.915532985036215e-05,4.860996926673959e-05,5,0.0001425589980716957,0.00024886096877785313
native,0.1,structured_dev_selected,lawa,structured_dev_selected has lower BPB,5,0.0014619144124732308,0.00013540064660883837,0.00016809515576821083,5,0.0012628762586530673,0.0016102328564975288
native,0.15,raw,scalar_dev_selected,scalar_dev_selected has lower BPB,5,0.005311576833436149,0.000124662019085606,0.00015476352618250166,5,0.005158620473972864,0.005479100893559741
native,0.15,raw,structured_dev_selected,structured_dev_selected has lower BPB,5,0.005368679473890081,9.391374133917392e-05,0.00011659061736085851,5,0.0052136046717961015,0.005448788087468515
native,0.15,scalar_dev_selected,structured_dev_selected,structured_dev_selected has lower BPB,5,5.71026404539321e-05,5.659071230742656e-05,7.025538532199246e-05,4,-3.0312806091226108e-05,0.00012134780030548242
native,0.15,raw,group_only_dev_selected,group_only_dev_selected has lower BPB,5,0.004956502329524959,0.00010919978260186977,0.0001355677016768239,5,0.004765152899000702,0.005037492485074235
native,0.15,raw,other_only_dev_selected,other_only_dev_selected has lower BPB,5,0.0005604350446084094,5.9864351738698567e-05,7.431949390574502e-05,5,0.0004896456639991165,0.0006498878811902475
native,0.15,structured_dev_selected,lawa,structured_dev_selected has lower BPB,5,0.0007543613098276669,0.00014141355541323934,0.00017555997124295354,5,0.0005812689318398512,0.000915008461448652
pure_adamw,0.05,raw,scalar_dev_selected,scalar_dev_selected has lower BPB,5,0.00019174611751697767,6.521358076437463e-05,8.096037420307853e-05,5,0.00010601731310089235,0.00028835113342196017
pure_adamw,0.05,raw,structured_dev_selected,structured_dev_selected has lower BPB,5,0.00024279292075508608,5.737541425880735e-05,7.122956528385067e-05,5,0.00015569361578626761,0.000309351446430739
pure_adamw,0.05,scalar_dev_selected,structured_dev_selected,structured_dev_selected has lower BPB,5,5.10468032381084e-05,2.688174099026113e-05,3.33727389953519e-05,5,2.1000313008778804e-05,8.398532898512556e-05
pure_adamw,0.05,raw,group_only_dev_selected,group_only_dev_selected has lower BPB,5,0.00025497351590475503,5.24721976357268e-05,6.514239374763878e-05,5,0.00017862411440150439,0.00031551226066151017
pure_adamw,0.05,raw,other_only_dev_selected,other_only_dev_selected has lower BPB,5,2.4178643815853106e-05,2.2409994375383302e-05,2.7821222347463222e-05,4,-4.954233568277289e-06,5.219227826680495e-05
pure_adamw,0.05,structured_dev_selected,lawa,structured_dev_selected has lower BPB,5,0.0010696329528437243,5.308566160277933e-05,6.590398775536744e-05,5,0.0009779577687849539,0.001112660468299831
pure_adamw,0.1,raw,scalar_dev_selected,scalar_dev_selected has lower BPB,5,0.0009454182043205694,9.355303682073262e-05,0.00011614281534711444,5,0.0008440244324408042,0.0010458907495496383
pure_adamw,0.1,raw,structured_dev_selected,structured_dev_selected has lower BPB,5,0.0009917770219376454,8.447741124827827e-05,0.00010487574438029021,5,0.0009055301785996228,0.0010953990065236674
pure_adamw,0.1,scalar_dev_selected,structured_dev_selected,structured_dev_selected has lower BPB,5,4.6358817617075944e-05,1.3632709071048509e-05,1.6924530364030138e-05,5,2.4086052975658134e-05,6.150574615881865e-05
pure_adamw,0.1,raw,group_only_dev_selected,group_only_dev_selected has lower BPB,5,0.0008888858279487266,7.993950839984777e-05,9.924209708781013e-05,5,0.0008218644305206801,0.0009971367113137397
pure_adamw,0.1,raw,other_only_dev_selected,other_only_dev_selected has lower BPB,5,0.00018789328640931303,2.6051296114880136e-05,3.234177079704369e-05,5,0.00015442368161577846,0.00021087211651815707
pure_adamw,0.1,structured_dev_selected,lawa,structured_dev_selected has lower BPB,5,0.0009903707923231587,9.982525641620866e-05,0.00012392955607782783,5,0.0008869840762577574,0.0011223048736688224
pure_adamw,0.15,raw,scalar_dev_selected,scalar_dev_selected has lower BPB,5,0.002608968625899921,0.00019483688420789293,0.00024188316097879524,5,0.002299040799540686,0.002773279436795395
pure_adamw,0.15,raw,structured_dev_selected,structured_dev_selected has lower BPB,5,0.0025971618278040954,0.00019565167857954003,0.00024289469962540712,5,0.002285843863113035,0.0027927911351259826
pure_adamw,0.15,scalar_dev_selected,structured_dev_selected,structured_dev_selected has lower BPB,5,-1.1806798095825855e-05,3.0118634058288924e-05,3.7391228257423543e-05,2,-5.056991385887777e-05,2.8594556956251793e-05
