optimizer,floor,recipe,method,n,mean_bpb,bpb_sd,bpb_ci95_half,min_bpb,max_bpb
native,0.05,group_only_dev_selected,Group-A-only shrinkage,5,1.0555120567952634,0.0007084958444041182,0.0008795727517483384,1.0545154704332749,1.05647374299598
native,0.05,lawa,Uniform LAWA,5,1.05691852396787,0.0006260999368008706,0.0007772811211681421,1.05605769930307,1.057814310917031
native,0.05,other_only_dev_selected,Group-B-only shrinkage,5,1.0561408360178712,0.0005685578822720678,0.0007058446778313154,1.0553226010079848,1.0568562469740768
native,0.05,raw,Raw endpoint,5,1.0561849974346893,0.0006214530146750432,0.0007715121302648689,1.055265521677051,1.0569383226402145
native,0.05,scalar_dev_selected,Development-selected scalar TSA,5,1.0554742891160622,0.0006088862564535429,0.000755910940509497,1.0546026191549256,1.0562915080206736
native,0.05,scalar_fixed_050,Scalar TSA (alpha=0.50),5,1.0554264882033602,0.0006096486706457468,0.0007568574509997212,1.0545501622274955,1.0562408608589553
native,0.05,scalar_fixed_055,Scalar TSA (alpha=0.55),5,1.0554742891160622,0.0006088862564535429,0.000755910940509497,1.0546026191549256,1.0562915080206736
native,0.05,structured_dev_selected,Development-selected structured TSA,5,1.0554553068643635,0.000642447899579616,0.0007975765438164912,1.0545387404176418,1.0563229470627802
native,0.1,group_only_dev_selected,Group-A-only shrinkage,5,1.05508688332159,0.00018753865619098578,0.00023282266676359368,1.054884467835925,1.0553646766454714
native,0.1,lawa,Uniform LAWA,5,1.056409140495691,0.0001648062487586799,0.00020460117990940568,1.0561172441836957,1.056512905789507
native,0.1,other_only_dev_selected,Group-B-only shrinkage,5,1.0569145767221642,0.00018691543535076684,0.00023204895993989407,1.0567444919891016,1.0571986027930378
native,0.1,raw,Raw endpoint,5,1.0571001954873553,0.0002172921512659472,0.00026976058777458434,1.056914711568883,1.0574474637618156
native,0.1,scalar_dev_selected,Development-selected scalar TSA,5,1.0549872265839966,0.00015776455519716416,0.0001958591642267588,1.0547542829278231,1.0551948231823731
native,0.1,scalar_fixed_050,Scalar TSA (alpha=0.50),5,1.0549978021015718,0.00016719761531613152,0.00020756997765181972,1.0547674060646333,1.055232282974425
native,0.1,scalar_fixed_055,Scalar TSA (alpha=0.55),5,1.0549872265839966,0.00015776455519716416,0.0001958591642267588,1.0547542829278231,1.0551948231823731
native,0.1,structured_dev_selected,Development-selected structured TSA,5,1.0549472260832178,0.00018288575079544132,0.0002270462478407335,1.0547124011793836,1.0552175295857127
native,0.15,group_only_dev_selected,Group-A-only shrinkage,5,1.0549853738967674,0.000459357963045943,0.0005702768065402688,1.0542421152686117,1.0554984085654664
native,0.15,lawa,Uniform LAWA,5,1.0553275580622299,0.0005101970548499273,0.0006333917566526805,1.0546177672613217,1.0560522433152837
native,0.15,other_only_dev_selected,Group-B-only shrinkage,5,1.0593814411816838,0.000502857841707398,0.000624280380840912,1.058652786264498,1.0599987554611323
native,0.15,raw,Raw endpoint,5,1.0599418762262922,0.0004793056878673044,0.0005950412075608565,1.0592220798180996,1.0604884011251314
