alpha,observed_gain,predicted_gain,residual
0.1,0.00037044243734429827,0.00035244048550399213,1.8001951840306138e-05
0.2,0.0006208983161966053,0.0006148673143254285,6.031001871176808e-06
0.3,0.0007939124587132973,0.0007872804864643091,6.631972248988239e-06
0.4,0.000880561250564682,0.0008696800019206336,1.0881248644048405e-05
0.5,0.0008780515387925014,0.0008620658606944027,1.5985678098098767e-05
0.55,0.0008350881845342606,0.0008245036688253285,1.0584515708932053e-05
0.6,0.0007546554845712095,0.0007644380627856158,-9.782578214406323e-06
0.65,0.000663236981289117,0.0006818690425752637,-1.863206128614671e-05
0.7,0.0005705085415550482,0.0005767966081942732,-6.288066639225081e-06
0.75,0.0004313362719332581,0.00044922075964264323,-1.788448770938516e-05
0.8,0.00028554150992721183,0.00029914149692037394,-1.3599986993162103e-05
0.9,-6.596050327667413e-05,-6.852727103607995e-05,2.566767759405817e-06
1.0,-0.0005050072072494416,-0.0005262096956750902,2.1202488425648564e-05
