recipe,method,k,spacing,alpha,beta,n,mean_bpb,bpb_ci95_half,mean_gain_vs_raw,gain_ci95_half
adaptive:hybrid:8:32:1.0:all,Adaptive TSA (all tensors),8,32,0.5864582210742559,nan,5,1.0550705650969974,0.00046690836600580627,0.00200232731584018,0.00017001818739484028
adaptive:hybrid:8:32:1.0:muon,Adaptive TSA (Muon tensors),8,32,0.14951754686909824,nan,5,1.0551219159779832,0.0004165725482462344,0.0019509764348544234,0.00013951135984987688
ema:0.95:16:16,Checkpoint EMA,16,16,nan,0.95,5,1.0559597163778278,0.0005252965179168253,0.0011131760350096443,0.0002496889279152162
ewa:beta0.50:k8:s32,Matched-window EWA,8,32,nan,0.5,5,1.0552159303415003,0.0004855869440726434,0.001856962071337298,0.00013564875766693954
ewa:beta0.75:k8:s32,Matched-window EWA,8,32,nan,0.75,5,1.0551626223445387,0.0005086032332930928,0.0019102700682988249,0.00020915950099067014
ewa:beta0.90:k8:s32,Matched-window EWA,8,32,nan,0.9,5,1.0557574981719478,0.0005221546192686282,0.0013153942408897113,0.00024800814726658687
ewa:beta0.95:k8:s32,Matched-window EWA,8,32,nan,0.95,5,1.0560482762112007,0.0005278799050356141,0.0010246162016367855,0.00026620325404770747
lawa:k16:s16:a1.000,LAWA,16,16,1.0,nan,5,1.0565651781001153,0.0005234192123272182,0.0005077143127222072,0.0002600986815668425
lawa:k16:s32:a1.000,LAWA,16,32,1.0,nan,5,1.0577163080112915,0.0004795559989735622,-0.0006434155984538226,0.00034177939780828085
lawa:k16:s64:a1.000,LAWA,16,64,1.0,nan,5,1.0622952516350392,0.0004977555578650497,-0.0052223592222016444,0.0006259406833918494
lawa:k4:s16:a1.000,LAWA,4,16,1.0,nan,5,1.0559692269427252,0.0005199509038769518,0.0011036654701122028,0.00014443249725975562
lawa:k4:s32:a1.000,LAWA,4,32,1.0,nan,5,1.0556747992278996,0.0005614458669690551,0.0013980931849379096,0.00021017498545385967
lawa:k4:s64:a1.000,LAWA,4,64,1.0,nan,5,1.056227114604275,0.0005286523565649516,0.0008457778085625645,0.00024027883389552126
lawa:k8:s16:a1.000,LAWA,8,16,1.0,nan,5,1.0558447598985299,0.000565770324546371,0.0012281325143076228,0.00021733165192855985
lawa:k8:s32:a1.000,LAWA,8,32,1.0,nan,5,1.0563884205280663,0.0005203316463979682,0.0006844718847713426,0.000261279985067072
lawa:k8:s64:a1.000,LAWA,8,64,1.0,nan,5,1.0575564854027075,0.0004577760355751876,-0.0004835929898699742,0.0002423652974850708
raw,Raw iterate,0,0,0.0,nan,5,1.0570728924128376,0.0004433398178647912,0.0,0.0
swastyle:32:16,SWA-style late average,32,16,1.0,nan,5,1.0578476778742476,0.00048639591587459224,-0.0007747854614102323,0.0003749499958914052
tsa:k16:s16:a0.550,TSA,16,16,0.55,nan,5,1.0549663695738958,0.0004914019531393015,0.00210652283894186,0.00020219942109819984
tsa:k16:s32:a0.550,TSA,16,32,0.55,nan,5,1.0547097575298108,0.0004028454169543577,0.0023631348830267297,0.00020729738893863198
tsa:k16:s64:a0.550,TSA,16,64,0.55,nan,5,1.0557390353661655,0.0003917758956779046,0.0013338570466721045,0.00043796943496533336
tsa:k4:s16:a0.550,TSA,4,16,0.55,nan,5,1.0558211531040183,0.00048693729878554313,0.001251739308819344,8.712401234862057e-05
tsa:k4:s32:a0.550,TSA,4,32,0.55,nan,5,1.0552942414776898,0.0004833284970679874,0.0017786509351476187,0.00010651235439682783
tsa:k4:s64:a0.550,TSA,4,64,0.55,nan,5,1.0551673858416968,0.00047683257519265295,0.0019055065711405916,0.0001490214631326543
tsa:k8:s16:a0.550,TSA,8,16,0.55,nan,5,1.055201957859462,0.00048620523183305224,0.001870934553375525,0.00012380504422311752
tsa:k8:s32:a0.550,TSA,8,32,0.55,nan,5,1.055003389014431,0.0004916172813425213,0.0020695033984066136,0.0002047279048847793
tsa:k8:s64:a0.550,TSA,8,64,0.55,nan,5,1.0547974272306169,0.00043872968323410027,0.0022754651822207705,0.00015559987753237513
