recipe,method,k,spacing,alpha,beta,bpb,eval_seconds,stream_seed,paired_delta_method_minus_raw,paired_se,mean_alpha_by_numel
raw,Raw iterate,0,0,0.0,nan,1.0569807437840526,2.4432293800637126,4403,,,
tsa:k4:s16:a0.550,TSA,4,16,0.55,nan,1.0556501506263398,2.411085215397179,4403,-0.001330593157712642,5.8195893110907835e-05,
lawa:k4:s16:a1.000,LAWA,4,16,1.0,nan,1.055736237080219,2.2394651090726256,4403,-0.0012445067038334469,0.0001033413421904746,
tsa:k4:s32:a0.550,TSA,4,32,0.55,nan,1.0550755054217376,2.2562404200434685,4403,-0.0019052383623148958,6.639722952366873e-05,
lawa:k4:s32:a1.000,LAWA,4,32,1.0,nan,1.0553421992935583,2.36300085298717,4403,-0.001638544490494107,0.00011784396762792359,
tsa:k4:s64:a0.550,TSA,4,64,0.55,nan,1.0549116484112742,2.3498336342163384,4403,-0.0020690953727783303,7.899725037338708e-05,
lawa:k4:s64:a1.000,LAWA,4,64,1.0,nan,1.0558567108433599,2.2826544088311493,4403,-0.0011240329406924942,0.0001376300937864608,
tsa:k8:s16:a0.550,TSA,8,16,0.55,nan,1.054968555110885,2.3134333631023765,4403,-0.0020121886731676504,7.158806854946257e-05,
lawa:k8:s16:a1.000,LAWA,8,16,1.0,nan,1.055501380771685,2.199961627833545,4403,-0.0014793630123673348,0.00012730739176279232,
tsa:k8:s32:a0.550,TSA,8,32,0.55,nan,1.0546935820417938,2.2466094559058547,4403,-0.002287161742258695,8.467103743631773e-05,
lawa:k8:s32:a1.000,LAWA,8,32,1.0,nan,1.0559867916584609,2.2804946918040514,4403,-0.000993952125591695,0.0001488689399470839,
tsa:k8:s64:a0.550,TSA,8,64,0.55,nan,1.0545364419687695,2.3590066907927394,4403,-0.0024443018152830336,0.00011510077175981757,
lawa:k8:s64:a1.000,LAWA,8,64,1.0,nan,1.057181228580377,2.3555463710799813,4403,0.00020048479632459962,0.0002010749837265361,
tsa:k16:s16:a0.550,TSA,16,16,0.55,nan,1.0546733344157815,2.2941967765800655,4403,-0.0023074093682710294,8.962219513993634e-05,
lawa:k16:s16:a1.000,LAWA,16,16,1.0,nan,1.0561693111464083,2.277320188935846,4403,-0.0008114326376441628,0.000154735897122077,
tsa:k16:s32:a0.550,TSA,16,32,0.55,nan,1.0544172361689264,2.243142960127443,4403,-0.002563507615126106,0.00012055812668934807,
lawa:k16:s32:a1.000,LAWA,16,32,1.0,nan,1.0572521399368588,2.2894613426178694,4403,0.00027139615280620646,0.0002068431151833159,
tsa:k16:s64:a0.550,TSA,16,64,0.55,nan,1.0552948547611762,2.3259575511328876,4403,-0.0016858890228761564,0.00019752471316128957,
lawa:k16:s64:a1.000,LAWA,16,64,1.0,nan,1.0616391386734263,2.305691041983664,4403,0.00465839488937378,0.0003223326500067719,
ewa:beta0.50:k8:s32,Matched-window EWA,8,32,nan,0.5,1.0549683796863467,2.4018029998987913,4403,-0.002012364097705742,7.490222708570435e-05,
ewa:beta0.75:k8:s32,Matched-window EWA,8,32,nan,0.75,1.0548410228396792,2.2088120649568737,4403,-0.002139720944373222,0.00011176405478803111,
ewa:beta0.90:k8:s32,Matched-window EWA,8,32,nan,0.9,1.0553810130763839,2.4180575236678123,4403,-0.0015997307076685344,0.0001353476425397451,
ewa:beta0.95:k8:s32,Matched-window EWA,8,32,nan,0.95,1.0556463876056064,2.3429332091473043,4403,-0.0013343561784460178,0.0001429200432277791,
ema:0.95:16:16,Checkpoint EMA,16,16,nan,0.95,1.0555854385481458,2.3229917781427503,4403,-0.0013953052359068744,0.00014305194835916854,
swastyle:32:16,SWA-style late average,32,16,1.0,nan,1.0573555762700801,2.390540848020464,4403,0.0003748324860277444,0.0002112730756482858,
adaptive:hybrid:8:32:1.0:all,Adaptive TSA (all tensors),8,32,0.5864157995544109,nan,1.0547861206287281,2.3018187968991697,4403,-0.002194623155324569,8.113511441711783e-05,0.5864157995544109
adaptive:hybrid:8:32:1.0:muon,Adaptive TSA (Muon tensors),8,32,0.14937578379388125,nan,1.054979051546927,2.350829182192683,4403,-0.002001692237125395,7.790713590238792e-05,0.14937578379388125
