recipe,method,k,spacing,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
adaptive:hybrid:8:32:1.0:all,Adaptive TSA (all tensors),8,32,5,0.00200232731584018,0.00017004544819416623,0.0018322818676460137,0.0021723727640343463,5
adaptive:hybrid:8:32:1.0:muon,Adaptive TSA (Muon tensors),8,32,5,0.0019509764348544234,0.00013953372916955284,0.0018114427056848705,0.002090510164023976,5
ema:0.95:16:16,Checkpoint EMA,16,16,5,0.0011131760350096443,0.0002497289631600457,0.0008634470718495986,0.00136290499816969,5
ewa:beta0.50:k8:s32,Matched-window EWA,8,32,5,0.001856962071337298,0.0001356705076550922,0.0017212915636822057,0.0019926325789923903,5
ewa:beta0.75:k8:s32,Matched-window EWA,8,32,5,0.0019102700682988249,0.00020919303772736283,0.001701077030571462,0.0021194631060261876,5
ewa:beta0.90:k8:s32,Matched-window EWA,8,32,5,0.0013153942408897113,0.000248047913014225,0.0010673463278754864,0.0015634421539039362,5
ewa:beta0.95:k8:s32,Matched-window EWA,8,32,5,0.0010246162016367855,0.0002662459372076665,0.000758370264429119,0.001290862138844452,5
lawa:k16:s16:a1.000,LAWA,16,16,5,0.0005077143127222072,0.0002601403859166641,0.00024757392680554313,0.0007678546986388713,5
lawa:k16:s32:a1.000,LAWA,16,32,5,-0.0006434155984538226,0.0003418341988840961,-0.0009852497973379187,-0.00030158139956972647,0
lawa:k16:s64:a1.000,LAWA,16,64,5,-0.0052223592222016444,0.0006260410470271837,-0.005848400269228829,-0.00459631817517446,0
lawa:k4:s16:a1.000,LAWA,4,16,5,0.0011036654701122028,0.00014445565563701087,0.000959209814475192,0.0012481211257492136,5
lawa:k4:s32:a1.000,LAWA,4,32,5,0.0013980931849379096,0.0002102086850138279,0.0011878844999240817,0.0016083018699517375,5
lawa:k4:s64:a1.000,LAWA,4,64,5,0.0008457778085625645,0.0002403173603212729,0.0006054604482412916,0.0010860951688838375,5
lawa:k8:s16:a1.000,LAWA,8,16,5,0.0012281325143076228,0.00021736649899193106,0.0010107660153156918,0.0014454990132995538,5
lawa:k8:s32:a1.000,LAWA,8,32,5,0.0006844718847713426,0.0002613218788276746,0.00042315000594366804,0.0009457937635990172,5
lawa:k8:s64:a1.000,LAWA,8,64,5,-0.0004835929898699742,0.00024240415845541501,-0.0007259971483253892,-0.0002411888314145592,0
raw,Raw iterate,0,0,5,0.0,0.0,0.0,0.0,0
swastyle:32:16,SWA-style late average,32,16,5,-0.0007747854614102323,0.0003750101155571415,-0.001149795576967374,-0.00039977534585309085,0
tsa:k16:s16:a0.550,TSA,16,16,5,0.00210652283894186,0.00020223184185227825,0.0019042909970895818,0.002308754680794138,5
tsa:k16:s32:a0.550,TSA,16,32,5,0.0023631348830267297,0.00020733062710336743,0.0021558042559233622,0.002570465510130097,5
tsa:k16:s64:a0.550,TSA,16,64,5,0.0013338570466721045,0.00043803965919875476,0.0008958173874733498,0.0017718967058708592,5
tsa:k4:s16:a0.550,TSA,4,16,5,0.001251739308819344,8.713798185537453e-05,0.0011646013269639695,0.0013388772906747185,5
tsa:k4:s32:a0.550,TSA,4,32,5,0.0017786509351476187,0.00010652943263982901,0.0016721215025077897,0.0018851803677874478,5
tsa:k4:s64:a0.550,TSA,4,64,5,0.0019055065711405916,0.00014904535730694217,0.0017564612138336495,0.0020545519284475336,5
tsa:k8:s16:a0.550,TSA,8,16,5,0.001870934553375525,0.00012382489518446364,0.0017471096581910613,0.0019947594485599887,5
tsa:k8:s32:a0.550,TSA,8,32,5,0.0020695033984066136,0.0002047607310571848,0.0018647426673494287,0.0022742641294637984,5
tsa:k8:s64:a0.550,TSA,8,64,5,0.0022754651822207705,0.0001556248264928455,0.002119840355727925,0.002431090008713616,5
