optimizer,alpha_group,alpha_other,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.0,0.0,5,0.0,0.0,0.0,0.0,0
native,0.0,0.125,5,8.910436096760676e-05,1.2797116381435718e-05,7.630724458617105e-05,0.00010190147734904248,5
native,0.0,0.25,5,0.00015429521010794643,3.1764891482659906e-05,0.00012253031862528654,0.00018606010159060633,5
native,0.0,0.375,5,0.00018638132179518152,5.8941727146951806e-05,0.00012743959464822972,0.0002453230489421333,5
native,0.0,0.5,5,0.00017866068166010328,6.597046175951485e-05,0.00011269021990058843,0.0002446311434196181,5
native,0.0,0.625,5,0.00014630493333944727,9.534338270403255e-05,5.096155063541472e-05,0.0002416483160434798,5
native,0.0,0.75,5,3.650638325165545e-05,0.0001098197289805798,-7.331334572892435e-05,0.00014632611223223523,3
native,0.0,0.875,5,-4.885642465506379e-05,0.00012684002818150764,-0.00017569645283657144,7.798360352644384e-05,2
native,0.0,1.0,5,-0.00019579376233589408,0.0001398429068960932,-0.00033563666923198726,-5.595085543980087e-05,0
native,0.125,0.0,5,0.0007783151394836097,2.973784876652152e-05,0.0007485772907170882,0.0008080529882501312,5
native,0.125,0.125,5,0.0008511500357373692,5.192586260192557e-05,0.0007992241731354436,0.0009030758983392948,5
native,0.125,0.25,5,0.0009031928914622345,6.955255317760522e-05,0.0008336403382846292,0.0009727454446398397,5
native,0.125,0.375,5,0.0009390784912217676,8.958432873412057e-05,0.0008494941624876469,0.0010286628199558882,5
native,0.125,0.5,5,0.0009210214627344282,8.749280982462112e-05,0.0008335286529098071,0.0010085142725590494,5
native,0.125,0.625,5,0.0008775053146705236,0.00012300631981799367,0.0007544989948525299,0.0010005116344885172,5
native,0.125,0.75,5,0.0007762357110347561,0.0001305973706574539,0.0006456383403773022,0.0009068330816922101,5
native,0.125,0.875,5,0.0006700899569324736,0.0001541320432233033,0.0005159579137091703,0.0008242220001557769,5
native,0.125,1.0,5,0.0005072595262558099,0.00015435410361856037,0.00035290542263724956,0.0006616136298743702,5
native,0.25,0.0,5,0.0013548726601484429,7.594884444309959e-05,0.0012789238157053433,0.0014308215045915425,5
native,0.25,0.125,5,0.0014374173300041536,9.004201832509557e-05,0.001347375311679058,0.0015274593483292492,5
native,0.25,0.25,5,0.0014974890556193276,0.00010210884481354284,0.0013953802108057848,0.0015995979004328703,5
native,0.25,0.375,5,0.0015127137963928394,0.00012904101004464707,0.0013836727863481924,0.0016417548064374865,5
native,0.25,0.5,5,0.0014854461752853432,0.0001382015857381655,0.0013472445895471776,0.0016236477610235087,5
native,0.25,0.625,5,0.0014367603819212427,0.00014393643572684938,0.0012928239461943933,0.0015806968176480922,5
native,0.25,0.75,5,0.0013281259555727675,0.00015665549328169702,0.0011714704622910704,0.0014847814488544646,5
native,0.25,0.875,5,0.0012112977188763363,0.00016702555396917366,0.0010442721649071627,0.00137832327284551,5
native,0.25,1.0,5,0.001048089053247736,0.00019038307207428325,0.0008577059811734527,0.0012384721253220193,5
native,0.375,0.0,5,0.00176067326755196,0.00010805842117517926,0.0016526148463767807,0.0018687316887271391,5
native,0.375,0.125,5,0.0018494830132262051,0.00012577612428746167,0.0017237068889387436,0.0019752591375136667,5
native,0.375,0.25,5,0.0018906307902143205,0.000153088938117285,0.0017375418520970355,0.0020437197283316054,5
native,0.375,0.375,5,0.001902500978634336,0.00016880851863936887,0.0017336924599949672,0.0020713094972737048,5
native,0.375,0.5,5,0.0018790502622096027,0.00017400732973561235,0.0017050429324739903,0.002053057591945215,5
native,0.375,0.625,5,0.0018068251827899396,0.0001853059870375765,0.0016215191957523632,0.001992131169827516,5
native,0.375,0.75,5,0.0017052930617714069,0.00018371904921569962,0.0015215740125557073,0.0018890121109871065,5
native,0.375,0.875,5,0.0015590891859607492,0.0002062323351854071,0.001352856850775342,0.0017653215211461564,5
native,0.375,1.0,5,0.0014105870909670414,0.00020603992405610421,0.0012045471669109372,0.0016166270150231457,5
native,0.5,0.0,5,0.002001193489689701,0.00015520523189964616,0.001845988257790055,0.002156398721589347,5
native,0.5,0.125,5,0.0020764698976781125,0.00017377698208465264,0.0019026929155934599,0.0022502468797627653,5
native,0.5,0.25,5,0.0021094190601934847,0.0001904662584208844,0.0019189528017726004,0.002299885318614369,5
native,0.5,0.375,5,0.002119022839692164,0.00021439363480637723,0.0019046292048857866,0.002333416474498541,5
native,0.5,0.5,5,0.002091998672446449,0.00020979262666542502,0.0018822060457810241,0.0023017912991118742,5
native,0.5,0.625,5,0.0020095775925092598,0.0002290351675438177,0.0017805424249654422,0.0022386127600530774,5
native,0.5,0.75,5,0.0018965690717973605,0.00021601944477665829,0.0016805496270207022,0.0021125885165740187,5
native,0.5,0.875,5,0.0017715773186091522,0.00022096616427924755,0.0015506111543299047,0.0019925434828883997,5
native,0.5,1.0,5,0.0015852073945597845,0.000232400840289901,0.0013528065542698835,0.0018176082348496856,5
native,0.625,0.0,5,0.002064268732483265,0.00019646946921778925,0.0018677992632654759,0.0022607382017010543,5
native,0.625,0.125,5,0.0021279506185651886,0.00019615481748047305,0.0019317958010847155,0.0023241054360456617,5
native,0.625,0.25,5,0.0021628347954452563,0.00023149685480022543,0.0019313379406450308,0.0023943316502454816,5
native,0.625,0.375,5,0.002161997184281228,0.0002468288688625186,0.0019151683154187095,0.0024088260531437465,5
native,0.625,0.5,5,0.002123887648326761,0.0002448619656781143,0.0018790256826486465,0.002368749614004875,5
native,0.625,0.625,5,0.002059664353096835,0.0002599190256377763,0.0017997453274590585,0.002319583378734611,5
native,0.625,0.75,5,0.0019361295100170928,0.0002548980800810377,0.0016812314299360551,0.0021910275900981304,5
native,0.625,0.875,5,0.0017890016342977156,0.00027945367944354736,0.0015095479548541684,0.002068455313741263,5
native,0.625,1.0,5,0.0016055694846637714,0.0002866507819640394,0.001318918702699732,0.0018922202666278108,5
native,0.75,0.0,5,0.0019524764090458114,0.0002213945900981868,0.0017310818189476245,0.002173870999143998,5
native,0.75,0.125,5,0.002023714246374597,0.000239936427905081,0.0017837778184695162,0.002263650674279678,5
native,0.75,0.25,5,0.002037351625994477,0.0002650987339459364,0.0017722528920485405,0.002302450359940413,5
native,0.75,0.375,5,0.002039133503506907,0.0002670699247136439,0.001772063578793263,0.0023062034282205508,5
native,0.75,0.5,5,0.0020019571268068857,0.00027361796480222165,0.001728339162004664,0.002275575091609107,5
native,0.75,0.625,5,0.0019300326941928514,0.00029367799210897603,0.0016363547020838754,0.0022237106863018273,5
native,0.75,0.75,5,0.0017960653334350596,0.0002937967033220176,0.001502268630113042,0.002089862036757077,5
native,0.75,0.875,5,0.0016486916458988699,0.00029546440249919614,0.0013532272433996737,0.001944156048398066,5
native,0.75,1.0,5,0.0014421646167003034,0.000315099576249459,0.0011270650404508443,0.0017572641929497624,5
native,0.875,0.0,5,0.0016738792330543094,0.0002611154985109578,0.0014127637345433515,0.0019349947315652673,5
native,0.875,0.125,5,0.001744224103893588,0.0002656994182680755,0.0014785246856255125,0.0020099235221616636,5
native,0.875,0.25,5,0.001763312926309224,0.0003066503583556944,0.0014566625679535295,0.0020699632846649186,5
native,0.875,0.375,5,0.0017488630728540234,0.0002971778712192682,0.0014516852016347552,0.0020460409440732916,5
native,0.875,0.5,5,0.001711626405481992,0.0003086761442234892,0.0014029502612585027,0.002020302549705481,5
native,0.875,0.625,5,0.0016265486316418443,0.0003124372067722265,0.0013141114248696178,0.0019389858384140709,5
native,0.875,0.75,5,0.001496562031767823,0.0003284599991417331,0.00116810203262609,0.001825022030909556,5
native,0.875,0.875,5,0.0013346947125958408,0.0003385411421269341,0.0009961535704689068,0.001673235854722775,5
native,0.875,1.0,5,0.0011286516015986514,0.00034924837144561404,0.0007794032301530374,0.0014778999730442654,5
native,1.0,0.0,5,0.001226766309418359,0.00026850693823638204,0.000958259371181977,0.001495273247654741,5
native,1.0,0.125,5,0.0012978022393360434,0.00030095365771476114,0.0009968485816212822,0.0015987558970508046,5
native,1.0,0.25,5,0.0013155369128075023,0.00032668730501009534,0.000988849607797407,0.0016422242178175976,5
native,1.0,0.375,5,0.0012922005307452356,0.0003234004066074008,0.0009688001241378348,0.0016156009373526365,5
native,1.0,0.5,5,0.001249878717728814,0.00033047044683451836,0.0009194082708942955,0.0015803491645633324,5
