optimizer,stream_seed,baseline_id,candidate_id,gain_vs_baseline
native,240503,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,251603,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,262703,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,273803,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,284903,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,296003,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,307103,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,318203,scalar|alpha=0.500,scalar|alpha=0.500,0.0
native,240503,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,-1.5097591647972308e-06
native,251603,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,-2.737436416233585e-05
native,262703,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,2.253284083542084e-06
native,273803,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,2.280349321170938e-05
native,284903,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,5.387620338614951e-05
native,296003,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,9.098991570888337e-05
native,307103,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,0.0001216413486100354
native,318203,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,0.00013530460607436012
native,240503,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,-1.4748602141345657e-05
native,251603,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,-1.2526492066733397e-05
native,262703,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,1.6126172046826426e-05
native,273803,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,4.521634132692576e-05
native,284903,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,1.8369292510200808e-05
native,296003,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,9.501246783338857e-05
native,307103,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,0.00010999654555776672
native,318203,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,0.0001328091196857173
native,240503,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,4.435404683533761e-06
native,251603,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,2.254853981087379e-06
native,262703,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,3.313188624320951e-05
native,273803,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,3.1777206996874696e-05
native,284903,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,3.82415863255936e-05
native,296003,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,9.543504099118749e-05
native,307103,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,0.000126436460109014
native,318203,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,0.00013303198868386268
native,240503,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,8.877625708914039e-05
native,251603,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,8.891808595690165e-05
native,262703,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.00010134047976384508
native,273803,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.00015764478492319434
native,284903,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.00013320646326597796
native,296003,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.00019268219961587896
native,307103,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.00023327681979523618
native,318203,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.00023210507935322866
native,240503,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,2.1782328656350103e-06
native,251603,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,-3.1702547564238515e-05
native,262703,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,1.4136504606909739e-05
native,273803,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,2.448702970925254e-05
native,284903,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,2.8993893820494776e-05
native,296003,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,7.143051601365968e-05
native,307103,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,0.00010220966750940086
native,318203,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,0.00012426951662503072
native,240503,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,-2.22780169905068e-05
native,251603,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,-1.946929194174274e-05
native,262703,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,-7.616818640254763e-07
native,273803,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,1.6665786961134188e-05
native,284903,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,1.4574346862250565e-05
native,296003,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,7.406570104873111e-05
native,307103,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,0.00011662106624776847
native,318203,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,0.00010636316997159057
native,240503,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,7.98087628006705e-06
native,251603,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,-1.1994731457187768e-05
native,262703,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,3.130336620160712e-05
native,273803,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,3.126743125236864e-05
native,284903,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,3.9467852459562636e-05
native,296003,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,9.613602950508948e-05
native,307103,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,0.00011887528421894444
native,318203,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,0.00013997875781712743
native,240503,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,-1.4778033474716068e-05
native,251603,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,-1.6227810183400138e-05
native,262703,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,2.3989901590359963e-05
native,273803,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,3.19875654095636e-05
native,284903,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,3.1401384301021906e-05
