optimizer,baseline_id,candidate_id,family,n,mean_gain_vs_baseline,se,halfwidth95,lo95,hi95
native,scalar|alpha=0.500,scalar|alpha=0.500,scalar,8,0.0,0.0,0.0,0.0,0.0
native,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,adaptive_affine,8,4.974809096844335e-05,2.1449065708270186e-05,5.0727040400058994e-05,-9.78949431615646e-07,0.00010047513136850234
native,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,adaptive_binary,8,4.8781855594093315e-05,2.0152965038996034e-05,4.7661762317225624e-05,1.1200932768676915e-06,9.644361791131894e-05
native,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,attn_mlp_rest,8,5.809305350179539e-05,1.8606739112390436e-05,4.400493800080339e-05,1.4088115500992002e-05,0.00010209799150259877
native,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,8,0.0001534937712204254,2.1375867934545653e-05,5.055392766520048e-05,0.00010293984355522492,0.00020404769888562586
native,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,depth_half_rest,8,4.20003516982681e-05,1.867471010302336e-05,4.4165689393650254e-05,-2.1653376953821528e-06,8.616604109191835e-05
native,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,depth_thirds_rest,8,3.5722635036899986e-05,1.961985848466996e-05,4.6400965316244456e-05,-1.067833027934447e-05,8.212360035314445e-05
native,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,8,5.662685828469738e-05,1.9382220181399394e-05,4.583895072900957e-05,1.0787907555687811e-05,0.00010246580901370695
native,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,hidden_rest,8,4.5722804774550596e-05,1.8408995851444867e-05,4.3537275188667115e-05,2.1855295858834813e-06,8.926007996321771e-05
native,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,input_write_rest,8,4.996357745457036e-05,2.0852976668378296e-05,4.931728982071467e-05,6.462876338556917e-07,9.928086727528503e-05
native,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,layer_scan,8,3.322912301897962e-05,1.990766712620243e-05,4.708163275346875e-05,-1.3852509734489124e-05,8.031075577244836e-05
native,scalar|alpha=0.500,module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.450,module_layer_scan,8,3.976381033735099e-05,2.0567997787021536e-05,4.864331476630594e-05,-8.879504428954946e-06,8.840712510365694e-05
native,scalar|alpha=0.500,square_rect_rest|rectangular=0.650|rest=0.250|square=0.550,square_rect_rest,8,5.9222895214317006e-05,2.0083563480976662e-05,4.749762763250981e-05,1.1725267581807196e-05,0.00010672052284682682
native,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.300,complement_split,8,0.00012156014259809278,2.061689533359318e-05,4.875895746394788e-05,7.280118513414491e-05,0.00017031910006204065
native,scalar|alpha=0.500,complement_split|embedding=0.150|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,8,0.00011508943103596958,2.0207137116226547e-05,4.778987927987579e-05,6.72995517560938e-05,0.00016287931031584536
native,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.150,complement_split,8,6.45256680947004e-05,2.1476895116817354e-05,5.079285695127304e-05,1.3732811143427352e-05,0.00011531852504597344
pure_adamw,scalar|alpha=0.500,scalar|alpha=0.500,scalar,8,0.0,0.0,0.0,0.0,0.0
pure_adamw,scalar|alpha=0.500,adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,adaptive_affine,8,4.791697821046603e-05,1.0273757732751935e-05,2.4297437037958328e-05,2.3619541172507704e-05,7.221441524842436e-05
pure_adamw,scalar|alpha=0.500,adaptive_binary|high=0.650|low=0.550|rest=0.250,adaptive_binary,8,5.870088676709906e-05,6.9075513315653e-06,1.6336358899151935e-05,4.2364527867947124e-05,7.5037245666251e-05
pure_adamw,scalar|alpha=0.500,attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,attn_mlp_rest,8,3.912042897574741e-05,6.566762044168745e-06,1.5530392234459083e-05,2.359003674128833e-05,5.46508212102065e-05
pure_adamw,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,8,0.00017845533027327498,9.775447168905075e-06,2.3118932554460504e-05,0.00015533639771881448,0.00020157426282773548
pure_adamw,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,depth_half_rest,8,4.842456921611005e-05,5.5574566182004475e-06,1.3143384902044059e-05,3.5281184314065986e-05,6.15679541181541e-05
pure_adamw,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,depth_thirds_rest,8,5.146667474820177e-05,9.370887589838906e-06,2.2162149149969013e-05,2.9304525598232756e-05,7.362882389817078e-05
pure_adamw,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,8,4.927265916862544e-05,5.926896236178608e-06,1.401710959856241e-05,3.5255549570063035e-05,6.328976876718786e-05
pure_adamw,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,hidden_rest,8,4.883334411825979e-05,8.592560129117607e-06,2.0321404705363142e-05,2.851193941289665e-05,6.915474882362294e-05
pure_adamw,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,input_write_rest,8,4.835951994067167e-05,6.514489112405698e-06,1.5406766750839478e-05,3.295275318983219e-05,6.376628669151115e-05
pure_adamw,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,layer_scan,8,5.190201798632721e-05,7.5466135180309396e-06,1.7847740970143174e-05,3.4054277016184036e-05,6.974975895647038e-05
pure_adamw,scalar|alpha=0.500,module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.450,module_layer_scan,8,4.967720210391491e-05,9.720071610642162e-06,2.2987969359168715e-05,2.6689232744746193e-05,7.266517146308362e-05
pure_adamw,scalar|alpha=0.500,square_rect_rest|rectangular=0.650|rest=0.250|square=0.550,square_rect_rest,8,3.7784102634663697e-05,5.411617714904512e-06,1.2798475895749173e-05,2.4985626738914522e-05,5.058257853041287e-05
pure_adamw,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.300,complement_split,8,0.00013970543222363574,9.842175139778672e-06,2.327674420557656e-05,0.00011642868801805918,0.0001629821764292123
pure_adamw,scalar|alpha=0.500,complement_split|embedding=0.150|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,8,0.00013945901221276702,7.845769851829148e-06,1.8555245699575937e-05,0.00012090376651319109,0.00015801425791234295
pure_adamw,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.150,complement_split,8,6.658311560217567e-05,9.737541815624007e-06,2.3029286393950777e-05,4.355382920822489e-05,8.961240199612645e-05
