alpha,validation_bpb,gain,ci95_halfwidth,n_eval_batches,interval_method
0.0,1.0612242823601388,0.0,0.0,32,1.96 times paired evaluation-batch SE; one trajectory
0.1,1.0608724057327779,0.0003518766273610599,7.353441094418805e-05,32,1.96 times paired evaluation-batch SE; one trajectory
0.2,1.0606226225283075,0.00060165983183149,0.00010408075533678245,32,1.96 times paired evaluation-batch SE; one trajectory
0.3,1.0604831974410573,0.0007410849190815742,0.00013788295906547564,32,1.96 times paired evaluation-batch SE; one trajectory
0.4,1.0604584869750293,0.0007657953851096973,0.00017594718859826266,32,1.96 times paired evaluation-batch SE; one trajectory
0.5,1.0604989677002712,0.0007253146598675507,0.00021224198817069236,32,1.96 times paired evaluation-batch SE; one trajectory
0.55,1.0605541793551674,0.000670103004971629,0.00022481451353711574,32,1.96 times paired evaluation-batch SE; one trajectory
0.6,1.0606785531596112,0.0005457292005276344,0.00025811731574173585,32,1.96 times paired evaluation-batch SE; one trajectory
0.65,1.0607596249077482,0.000464657452390705,0.0002878214156556803,32,1.96 times paired evaluation-batch SE; one trajectory
0.7,1.0608522018098325,0.0003720805503063425,0.0002994637289030501,32,1.96 times paired evaluation-batch SE; one trajectory
0.75,1.0609848271690345,0.00023945519110428817,0.0003236403712440687,32,1.96 times paired evaluation-batch SE; one trajectory
0.8,1.0611896532544414,3.462910569746944e-05,0.00034558545763628545,32,1.96 times paired evaluation-batch SE; one trajectory
0.9,1.0615703781449093,-0.0003460957847705934,0.0003726123826016117,32,1.96 times paired evaluation-batch SE; one trajectory
1.0,1.0620680051237184,-0.000843722763579597,0.00042392475651238323,32,1.96 times paired evaluation-batch SE; one trajectory
