optimizer,floor,alpha,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.05,0.0,5,0.0,0.0,0.0,0.0,0
native,0.05,0.05,5,0.00019471830929300714,1.6828471930681642e-05,0.0001778898373623255,0.00021154678122368878,5
native,0.05,0.1,5,0.00035056007860401195,2.900929656242061e-05,0.00032155078204159135,0.00037956937516643254,5
native,0.05,0.15,5,0.0004657653274450002,4.850695645628705e-05,0.00041725837098871316,0.0005142722839012872,5
native,0.05,0.2,5,0.0005784926779075939,5.7964821851176526e-05,0.0005205278560564174,0.0006364574997587704,5
native,0.05,0.25,5,0.0006698848459790518,5.854425319855904e-05,0.0006113405927804928,0.0007284290991776108,5
native,0.05,0.3,5,0.0007365194761379534,7.470479490419152e-05,0.0006618146812337619,0.0008112242710421449,5
native,0.05,0.35,5,0.000778666547121798,8.192933154465479e-05,0.0006967372155771432,0.0008605958786664528,5
native,0.05,0.4,5,0.0007937926339417256,8.69199068674441e-05,0.0007068727270742815,0.0008807125408091697,5
native,0.05,0.45,5,0.000793666554996797,9.338690650589376e-05,0.0007002796484909032,0.0008870534615026907,5
native,0.05,0.5,5,0.0007585092313292296,9.462569391439473e-05,0.000663883537414835,0.0008531349252436243,5
native,0.05,0.55,5,0.0007107083186271623,9.791653942082996e-05,0.0006127917792063324,0.0008086248580479922,5
native,0.05,0.6,5,0.0006496615902483516,9.95957205591512e-05,0.0005500658696892004,0.0007492573108075027,5
native,0.05,0.65,5,0.0005480723090918183,0.0001263967163752844,0.0004216755927165339,0.0006744690254671026,5
native,0.05,0.7,5,0.0004387176315918673,0.00013637442699142706,0.0003023432046004402,0.0005750920585832944,5
native,0.05,0.75,5,0.0002957266788381041,0.0001451957455872367,0.0001505309332508674,0.00044092242442534085,5
native,0.05,0.8,5,0.00013117090870768956,0.0001402384014156005,-9.067492707910929e-06,0.00027140931012329,5
native,0.05,0.85,5,-5.5626221299664993e-05,0.0001526873783867686,-0.0002083135996864336,9.70611570871036e-05,2
native,0.05,0.9,5,-0.00025100316495692,0.00016535769821863055,-0.0004163608631755505,-8.564546673828945e-05,0
native,0.05,0.95,5,-0.0004760861387443693,0.00017553077213565258,-0.0006516169108800218,-0.00030055536660871673,0
native,0.05,1.0,5,-0.0007335265331806174,0.00017174161503965993,-0.0009052681482202773,-0.0005617849181409574,0
native,0.1,0.0,5,0.0,0.0,0.0,0.0,0
native,0.1,0.05,5,0.0003714475444037024,5.341024634702214e-06,0.0003661065197690002,0.00037678856903840464,5
native,0.1,0.1,5,0.0007100165144026782,4.2077876280374526e-05,0.0006679386381223037,0.0007520943906830527,5
native,0.1,0.15,5,0.001012129619813562,5.914650992381883e-05,0.0009529831098897433,0.001071276129737381,5
native,0.1,0.2,5,0.0012699776940915618,4.9371716259167874e-05,0.0012206059778323939,0.0013193494103507298,5
native,0.1,0.25,5,0.0014986575151648917,7.569480465710978e-05,0.0014229627105077818,0.0015743523198220016,5
native,0.1,0.3,5,0.001694748087768616,8.1026923395308e-05,0.001613721164373308,0.001775775011163924,5
native,0.1,0.35,5,0.0018477615181346607,0.00010797276196952911,0.0017397887561651315,0.0019557342801041896,5
native,0.1,0.4,5,0.0019776615123560325,0.00010119745901080536,0.001876464053345227,0.002078858971366838,5
native,0.1,0.45,5,0.0020577365770019897,0.000133132085112353,0.0019246044918896368,0.002190868662114343,5
native,0.1,0.5,5,0.002102393385783552,0.00013618264011171075,0.001966210745671841,0.002238576025895263,5
native,0.1,0.55,5,0.0021129689033588138,0.000153864962224147,0.001959103941134667,0.0022668338655829606,5
native,0.1,0.6,5,0.002088487019717489,0.0001708286592122932,0.0019176583605051956,0.002259315678929782,5
native,0.1,0.65,5,0.0020341875105965635,0.0001824352903697305,0.001851752220226833,0.002216622800966294,5
native,0.1,0.7,5,0.0019403905479372873,0.00018563119090930763,0.0017547593570279797,0.002126021738846595,5
native,0.1,0.75,5,0.0018185257869525629,0.00020978910513878875,0.0016087366818137742,0.0020283148920913516,5
native,0.1,0.8,5,0.0016562186170093085,0.00020885160885829285,0.0014473670081510156,0.0018650702258676015,5
native,0.1,0.85,5,0.001456831905537337,0.00022862446683640569,0.0012282074387009313,0.0016854563723737426,5
native,0.1,0.9,5,0.001241148360425548,0.00025741541476352614,0.000983732945662022,0.001498563775189074,5
native,0.1,0.95,5,0.0009803619081133253,0.0002625397333245975,0.0007178221747887279,0.0012429016414379228,5
