optimizer,floor,alpha,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.05,0.0,5,0.0,0.0,0.0,0.0,0
native,0.05,0.05,5,0.00019471830929300714,1.6828471930681642e-05,0.0001778898373623255,0.00021154678122368878,5
native,0.05,0.1,5,0.00035056007860401195,2.900929656242061e-05,0.00032155078204159135,0.00037956937516643254,5
native,0.05,0.15,5,0.0004657653274450002,4.850695645628705e-05,0.00041725837098871316,0.0005142722839012872,5
native,0.05,0.2,5,0.0005784926779075939,5.7964821851176526e-05,0.0005205278560564174,0.0006364574997587704,5
native,0.05,0.25,5,0.0006698848459790518,5.854425319855904e-05,0.0006113405927804928,0.0007284290991776108,5
native,0.05,0.3,5,0.0007365194761379534,7.470479490419152e-05,0.0006618146812337619,0.0008112242710421449,5
native,0.05,0.35,5,0.000778666547121798,8.192933154465479e-05,0.0006967372155771432,0.0008605958786664528,5
native,0.05,0.4,5,0.0007937926339417256,8.69199068674441e-05,0.0007068727270742815,0.0008807125408091697,5
native,0.05,0.45,5,0.000793666554996797,9.338690650589376e-05,0.0007002796484909032,0.0008870534615026907,5
native,0.05,0.5,5,0.0007585092313292296,9.462569391439473e-05,0.000663883537414835,0.0008531349252436243,5
native,0.05,0.55,5,0.0007107083186271623,9.791653942082996e-05,0.0006127917792063324,0.0008086248580479922,5
native,0.05,0.6,5,0.0006496615902483516,9.95957205591512e-05,0.0005500658696892004,0.0007492573108075027,5
native,0.05,0.65,5,0.0005480723090918183,0.0001263967163752844,0.0004216755927165339,0.0006744690254671026,5
native,0.05,0.7,5,0.0004387176315918673,0.00013637442699142706,0.0003023432046004402,0.0005750920585832944,5
native,0.05,0.75,5,0.0002957266788381041,0.0001451957455872367,0.0001505309332508674,0.00044092242442534085,5
native,0.05,0.8,5,0.00013117090870768956,0.0001402384014156005,-9.067492707910929e-06,0.00027140931012329,5
native,0.05,0.85,5,-5.5626221299664993e-05,0.0001526873783867686,-0.0002083135996864336,9.70611570871036e-05,2
native,0.05,0.9,5,-0.00025100316495692,0.00016535769821863055,-0.0004163608631755505,-8.564546673828945e-05,0
native,0.05,0.95,5,-0.0004760861387443693,0.00017553077213565258,-0.0006516169108800218,-0.00030055536660871673,0
native,0.05,1.0,5,-0.0007335265331806174,0.00017174161503965993,-0.0009052681482202773,-0.0005617849181409574,0
