optimizer,floor,stream_seed,raw_effect,tsa_effect,interaction
native,0.05,11103,0.0,0.0,0.0
native,0.05,12203,0.0,0.0,0.0
native,0.05,13303,0.0,0.0,0.0
native,0.05,14403,0.0,0.0,0.0
native,0.05,15503,0.0,0.0,0.0
native,0.1,11103,0.0010589267486813547,-0.0004099869426716918,0.0014689136913530465
native,0.1,12203,8.142178111247844e-05,-0.0012966172860124914,0.0013780390671249698
native,0.1,13303,0.0009602500196079777,-0.0003386714006641256,0.0012989214202721033
native,0.1,14403,0.0005716483843374309,-0.0008149854619434738,0.0013866338462809047
native,0.1,15503,0.0019037433295907569,0.0004249484309635232,0.0014787948986272337
native,0.15,11103,0.0037130813997534595,-0.0009822926057168058,0.004695374005470265
native,0.15,12203,0.002814703386155193,-0.001697102468276812,0.004511805854432005
native,0.15,13303,0.0045339395758563494,-4.465723575974856e-05,0.004578596811616098
native,0.15,14403,0.0037661114552010044,-0.0007998562985476187,0.004565967753748623
native,0.15,15503,0.003956558141048561,-0.0006960400077293816,0.004652598148777942
pure_adamw,0.05,11103,0.0,0.0,0.0
pure_adamw,0.05,12203,0.0,0.0,0.0
pure_adamw,0.05,13303,0.0,0.0,0.0
pure_adamw,0.05,14403,0.0,0.0,0.0
pure_adamw,0.05,15503,0.0,0.0,0.0
pure_adamw,0.1,11103,0.0026056826770894936,0.0017999525595544519,0.0008057301175350418
pure_adamw,0.1,12203,0.0029128588837394886,0.0022408133968292443,0.0006720454869102443
pure_adamw,0.1,13303,-9.663889331146258e-05,-0.0008547718162537077,0.0007581329229422451
pure_adamw,0.1,14403,0.000979241521003038,0.00011477286836636402,0.000864468652636674
pure_adamw,0.1,15503,-0.0007784655545890473,-0.0015863703004908025,0.0008079047459017552
pure_adamw,0.15,11103,0.0029833534296193065,0.0003540011079601335,0.002629352321659173
pure_adamw,0.15,12203,-0.0028535174603741,-0.005321619337508965,0.002468101877134865
pure_adamw,0.15,13303,0.013365068290288606,0.01066048127735053,0.0027045870129380756
pure_adamw,0.15,14403,0.00025113220363714994,-0.0023429096345100042,0.002594041838147154
pure_adamw,0.15,15503,0.003460799800532266,0.0011747165112696578,0.002286083289262608
